No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah
1, 0101001,SMK NEGERI 1,20100143,N,234,76.06,64.58,49.86,72.94,"65,86",01,01,001
2, 0101002,SMK NEGERI 34,20100166,N,171,69.35,65.47,48.57,72.02,"63,85",01,01,002
3, 0101003,SMK NEGERI 39,20100168,N,190,73.05,67.86,49.87,71.54,"65,58",01,01,003
4, 0101004,SMK NEGERI 54,20100156,N,165,68.67,56.46,41.48,71.92,"59,63",01,01,004
5, 0101006,SMK KAMPUNG JAWA,20100105,S,141,60.23,42.64,27.75,79.67,"52,57",01,01,006
6, 0101007,SMK KATOLIK STRADA,20107258,S,76,66.29,51.74,29.05,79.29,"56,59",01,01,007
7, 0101008,SMK MUHAMMADIYAH 1,20100115,S,192,62.16,43.65,30.69,68.93,"51,36",01,01,008
8, 0101009,SMK PONCOL,20100307,S,108,62.2,41.15,25.76,78.86,"51,99",01,01,009
9, 0101011,SMK SINT JOSEPH,20100110,S,7,74.57,58,30.36,74.59,"59,38",01,01,011
10, 0101012,SMK TAMAN SISWA 2,20100296,S,233,60.62,45.62,24.44,67.77,"49,61",01,01,012
11, 0101013,SMK AT TAQWA,20100131,S,91,71.87,50.15,33.21,82.62,"59,46",01,01,013
12, 0101014,SMK BUNDA MULIA 1,20107252,S,253,79.13,84.76,74.44,79.26,"79,40",01,01,014
13, 0101015,SMK NEGERI 2,20100161,N,149,76.59,71.97,60.37,80.3,"72,31",01,01,015
14, 0101016,SMK NEGERI 3,20100164,N,165,77.08,67.52,67.86,79.92,"73,10",01,01,016
15, 0101017,SMK NEGERI 14,20100158,N,265,78.34,74.74,72.67,84.4,"77,54",01,01,017
16, 0101018,SMK NEGERI 16,20100159,N,177,78.71,66.44,61.69,82.22,"72,27",01,01,018
17, 0101019,SMK NEGERI 19,20100160,N,197,77.2,71.41,70.32,78.27,"74,30",01,01,019
18, 0101020,SMK NEGERI 21,20100162,N,195,76.22,66.85,60.44,80.09,"70,90",01,01,020
19, 0101021,SMK NEGERI 31,20100165,N,156,75.15,65.37,56.92,80.26,"69,43",01,01,021
20, 0101022,SMK NEGERI 44,20100157,N,187,75.63,62.51,59.85,81.82,"69,95",01,01,022
21, 0101023,SMK AL IRSYAD,20100119,S,56,56.21,37.11,20.09,77.93,"47,84",01,01,023
