No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah
1, 0101001,SMA NEGERI 68,20100199,N,170,85.22,81.6,73.99,83.46,84.32,80.4,-,01,01,001
2, 0101002,SMA FRANSISKUS I,20100489,S,8,81.25,75.49,44.56,79.33,65,69.51,-,01,01,002
3, 0101003,SMA MUHAMMADIYAH 16,20100183,S,14,67.82,42.56,22.04,22.19,27.86,27.83,-,01,01,003
4, 0101004,SMA MUHAMMADIYAH I,20100195,S,27,71.24,73.55,74.73,80.69,59.91,62.3,-,01,01,004
5, 0101006,SMA PERGURUAN ADVENT SALEMBA,20100175,S,19,80.8,72.82,53.4,58,62.76,65.26,-,01,01,006
6, 0101007,SMA PERGURUAN ADVENT I,20108498,S,37,78.59,72.38,46.07,68.51,63.31,63.13,-,01,01,007
7, 0101008,SMA PSKD 1,20100490,S,15,78.75,63,34.32,43.65,41.5,49.78,-,01,01,008
8, 0101009,SMA PSKD 3,20100483,S,7,73.23,74.04,79.87,82.19,61.07,64.86,-,01,01,009
9, 0101012,SMA NEGERI 5,20100210,N,157,80.08,67.35,64.77,75.15,64.52,63.16,-,01,01,012
10, 0101013,SMA NEGERI 27,20100223,N,78,82.55,65.98,46.61,71.26,67.18,63.68,-,01,01,013
11, 0101014,SMA NEGERI 30,20100224,N,113,80.83,73.43,60.27,62.3,59.31,55.2,-,01,01,014
12, 0101015,SMA NEGERI 77,20100201,N,120,86.57,80.38,78.39,89.26,82.6,79.25,-,01,01,015
13, 0101020,SMA KRISTEN KANAAN,20100189,S,16,86.44,76.26,64.58,74.51,73.13,67.33,-,01,01,020
14, 0101021,SMA KARTINI 1,20100185,S,27,66.58,68.83,59.18,72.41,60,54.29,-,01,01,021
15, 0101022,SMA KRISTEN 3 BPK PENABUR,20100187,S,82,84.96,82.67,83.74,91.8,89.73,81.16,-,01,01,022
16, 0101025,SMA MUHAMMADIYAH 2,20100182,S,20,66.85,69.52,74.33,77.79,68.38,50.47,-,01,01,025
17, 0101026,SMA PASKALIS,20100173,S,19,75.05,66.84,46.29,65.87,62.11,55.45,-,01,01,026
18, 0101027,SMA PERGURUAN KSATRYA,20100193,S,26,70.28,55.73,59.87,82.11,62.98,58.29,-,01,01,027
19, 0101032,SMA TAMAN MADYA 1,20100181,S,31,73.08,50.3,46.34,50.91,37.18,59.23,-,01,01,032
20, 0101038,SMA NEGERI 1,20100216,N,158,83.68,78.29,76.26,85.95,80.62,76.83,-,01,01,038
21, 0101039,SMA NEGERI 10,20100217,N,74,76.73,59.52,43.48,59.57,49.26,48.67,-,01,01,039
22, 0101040,SMA NEGERI 20,20100218,N,72,79.39,63.33,47.92,74.26,62.53,62.23,-,01,01,040
23, 0101041,SMA ATTAQWA,20100484,S,40,70.68,75.33,72.84,87.1,60.06,59.26,-,01,01,041
24, 0101042,SMA BUDI MULIA,20107249,S,134,82.67,73.04,60.85,74.8,67.41,63.55,-,01,01,042
25, 0101043,SMA KRISTEN 2 BPK PENABUR,20100186,S,55,84.06,76.28,71.92,80.47,73.95,68.16,-,01,01,043
26, 0101044,SMA KRISTEN KARUNIA,20100190,S,13,80.38,78.93,73.14,83.32,75.58,74.51,-,01,01,044
27, 0101048,SMA SANTA URSULA,20108383,S,120,86.65,84.98,82.31,89.14,84.33,82.28,-,01,01,048
28, 0101050,SMA NEGERI 4,20100211,N,109,80.46,65.87,50.59,61.47,58.14,61.95,-,01,01,050
29, 0101051,SMA NEGERI 7,20100200,N,77,78.92,76.86,68.02,85.17,72.4,65.2,-,01,01,051
30, 0101052,SMA NEGERI 24,20100219,N,109,76.45,72.78,47.99,79.74,69.68,67.27,-,01,01,052
31, 0101053,SMA NEGERI 25,20100221,N,60,81.78,75.37,55.6,71.51,66.92,67.31,-,01,01,053
32, 0101054,SMA NEGERI 35,20100212,N,66,82.99,74.13,73.28,85.52,71.97,71.19,-,01,01,054
