No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah
1, 0101001,SMA NEGERI 68,20100199,N,180,78.66,77.63,84.1,81.42,80.36,83.96,-,01,01,001
2, 0101002,SMA FRANSISKUS I,20100489,S,8,66.25,50.5,30.63,35.63,28.44,44.06,-,01,01,002
3, 0101003,SMA MUHAMMADIYAH 16,20100183,S,16,63.63,34.75,22.81,25.78,27.5,32.5,-,01,01,003
4, 0101004,SMA MUHAMMADIYAH I,20100195,S,39,61.54,53.79,38.21,57.69,30.19,49.81,-,01,01,004
5, 0101006,SMA PERGURUAN ADVENT SALEMBA,20100175,S,21,72.1,59.43,49.88,48.1,43.1,53.33,-,01,01,006
6, 0101007,SMA PERGURUAN ADVENT I,20108498,S,45,71.2,61.96,55.67,66.22,41.22,63,-,01,01,007
7, 0101008,SMA PSKD 1,20100490,S,15,72.8,50.8,33.83,27.33,43.33,47,-,01,01,008
8, 0101009,SMA PSKD 3,20100483,S,3,57.33,35.33,29.17,25,18.33,34.17,-,01,01,009
9, 0101012,SMA NEGERI 5,20100210,N,141,72.18,59.83,59.13,47.96,49.77,64.17,-,01,01,012
10, 0101013,SMA NEGERI 27,20100223,N,71,74.2,60.73,58.13,54.86,54.82,67.96,-,01,01,013
11, 0101014,SMA NEGERI 30,20100224,N,143,71.78,60.8,57.24,47.45,50.59,61.66,-,01,01,014
12, 0101015,SMA NEGERI 77,20100201,N,108,78.52,79.56,90.09,86.67,78.4,83.5,-,01,01,015
13, 0101020,SMA KRISTEN KANAAN,20100189,S,21,71.9,61.62,53.69,54.88,67.5,58.21,-,01,01,020
14, 0101021,SMA KARTINI 1,20100185,S,25,60.16,36.64,37.3,50.6,52.5,49.3,-,01,01,021
15, 0101022,SMA KRISTEN 3 BPK PENABUR,20100187,S,131,79.97,72.84,83.32,84.64,87.31,71.51,-,01,01,022
16, 0101025,SMA MUHAMMADIYAH 2,20100182,S,25,58.48,49.2,31.2,60.7,35.7,56.8,-,01,01,025
17, 0101026,SMA PASKALIS,20100173,S,17,66.47,48.59,30.15,37.21,47.65,40.29,-,01,01,026
18, 0101027,SMA PERGURUAN KSATRYA,20100193,S,51,64.71,47.57,30.83,66.47,69.56,55.69,-,01,01,027
19, 0101032,SMA TAMAN MADYA 1,20100181,S,32,65.94,39.31,24.45,25.08,32.11,42.58,-,01,01,032
20, 0101038,SMA NEGERI 1,20100216,N,143,74.29,71.33,69.9,70.12,62.53,71.17,-,01,01,038
21, 0101039,SMA NEGERI 10,20100217,N,65,65.78,52.15,42.77,42.08,42.42,52.23,-,01,01,039
22, 0101040,SMA NEGERI 20,20100218,N,71,70.23,50.25,51.65,48.87,47.64,56.65,-,01,01,040
23, 0101041,SMA ATTAQWA,20100484,S,37,59.62,42.65,29.19,33.11,33.31,40.27,-,01,01,041
24, 0101042,SMA BUDI MULIA,20107249,S,132,74.58,64.86,56.88,54.28,62.37,50.97,-,01,01,042
25, 0101043,SMA KRISTEN 2 BPK PENABUR,20100186,S,62,73.94,66.03,69.31,69.76,69.84,58.99,-,01,01,043
26, 0101044,SMA KRISTEN KARUNIA,20100190,S,9,80.22,68,88.06,84.17,80,73.06,-,01,01,044
27, 0101048,SMA SANTA URSULA,20108383,S,106,81.36,74.79,83.02,81.16,86.04,73.49,-,01,01,048
28, 0101050,SMA NEGERI 4,20100211,N,105,75.85,69.83,67.83,53.98,53.48,70.12,-,01,01,050
29, 0101051,SMA NEGERI 7,20100200,N,98,67.78,60.76,50.33,43.65,48.34,58.65,-,01,01,051
30, 0101052,SMA NEGERI 24,20100219,N,98,72.24,64.84,51.4,45.43,48.04,64.92,-,01,01,052
31, 0101053,SMA NEGERI 25,20100221,N,71,72.31,54.65,53.56,38.63,46.83,60.63,-,01,01,053
32, 0101054,SMA NEGERI 35,20100212,N,58,75.1,66.48,68.1,65.09,62.8,71.29,-,01,01,054
33, 0101055,SMA BUNDA MULIA,20100486,S,46,76.39,64.74,66.68,60.49,69.46,61.85,-,01,01,055
34, 0101058,SMA YP. IPPI PETOJO,20100215,S,33,58.42,34.42,24.47,22.2,28.03,35.38,-,01,01,058
35, 0101060,SMA KANISIUS,20100170,S,187,78.68,79.45,86.62,85.94,81.24,80.64,-,01,01,060
36, 0101062,SMA KRISTEN BETHEL,20100188,S,5,69.2,43.6,37,49,41.5,40,-,01,01,062
37, 0101063,SMA MUHAMMADIYAH 14,20100184,S,13,62.77,51.54,47.12,24.62,60,61.15,-,01,01,063
38, 0101067,SMA SAID NAUM,20108502,S,20,60.1,37.3,32.75,31.13,51,45.13,-,01,01,067
39, 0101068,SMA SANTO PAULUS,20100179,S,11,69.82,61.82,56.14,52.95,51.36,76.82,-,01,01,068
40, 0101070,SMA ST. BELLARMINUS,20108507,S,17,72.12,67.65,47.06,53.68,52.79,51.32,-,01,01,070
41, 0101071,SMA SUNDA KELAPA,20100180,S,12,59.67,55,28.54,64.17,30,64.38,-,01,01,071
42, 0101072,SMA TARSISIUS I,20100197,S,37,73.35,69.35,62.97,68.24,57.16,60.95,-,01,01,072
43, 0101073,SMA SANTA THERESIA,20100198,S,94,77.6,72.19,72.98,71.73,78.38,62.23,-,01,01,073
44, 0101076,SMA KRISTEN KETAPANG I,20100191,S,21,79.71,71.14,76.67,72.26,81.31,65.48,-,01,01,076
45, 0101077,SMA MAHATMA GANDHI,20100194,S,19,74.63,72.63,67.89,54.87,58.95,66.18,-,01,01,077
46, 0101078,SMA KRISTEN NASIONAL ANGLO,20108504,S,7,71.43,61.71,50.71,37.86,52.14,42.5,-,01,01,078
47, 0101079,SMA UNIVERSAL,20107251,S,19,71.68,71.79,62.37,58.55,61.45,57.24,-,01,01,079
48, 0101080,SMA HATI SUCI,20108501,S,5,75.2,65.6,44,34,53,54,-,01,01,080
49, 0101081,SMA PSKD MANDIRI,20107250,S,8,73.25,66.5,49.38,57.19,56.25,51.56,-,01,01,081
50, 0101082,SMA KRISTEN CALVIN,20112503,S,19,77.89,72.32,68.55,71.18,74.47,68.03,-,01,01,082
51, 0101166,MA NEGERI 3 JAKARTA,60725001,N,74,62.62,46.78,37.26,37.84,40.61,52.33,-,01,01,166
52, 0101168,MA JAMIAT KHEIR,60725008,S,11,64.91,61.82,63.41,61.14,86.14,58.64,-,01,01,168
53, 0101169,MA AL-MUDDATSIRIYAH,60724994,S,28,61.36,49.79,22.14,59.82,53.66,40.89,-,01,01,169
