No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah
1, 01010001,SMA NEGERI 68,20100199,N,179,88.82,89.4,76.94,84.77,84.18,79.7,84.47,01,01,000
2, 01010002,SMA FRANSISKUS I,20100489,S,3,72.67,60.67,32.5,-,-,45.83,52.92,01,01,000
3, 01010003,SMA MUHAMMADIYAH 16,20100183,S,29,61.52,43.17,27.93,30.83,32.5,44.4,43.8,01,01,000
4, 01010004,SMA MUHAMMADIYAH I,20100195,S,55,67.56,50.69,33.32,32.19,46.25,43.72,48.43,01,01,000
5, 01010006,SMA PERGURUAN ADVENT SALEMBA,20100175,S,25,81.36,82.4,49.4,57,60,56.07,67.44,01,01,000
6, 01010007,SMA PERGURUAN ADVENT I,20108498,S,34,76.29,65.41,39.85,41.25,48.46,62.5,58.11,01,01,000
7, 01010008,SMA PSKD 1,20100490,S,13,74.46,66.62,40.58,45.63,-,43.33,56.43,01,01,000
8, 01010009,SMA PSKD 3,20100483,S,3,68,64.67,29.17,-,-,46.67,52.13,01,01,000
9, 01010012,SMA NEGERI 5,20100210,N,143,83.62,74.64,48.37,60,59.81,63.63,67.17,01,01,001
10, 01010013,SMA NEGERI 27,20100223,N,106,82.3,72.04,48.23,46.35,60.88,63.63,65.44,01,01,001
11, 01010014,SMA NEGERI 30,20100224,N,141,83.79,79.16,52.77,50.22,52.5,60.34,67.68,01,01,001
12, 01010015,SMA NEGERI 77,20100201,N,107,86.5,87.66,67.97,85.54,70.81,79.17,80.02,01,01,001
13, 01010020,SMA KRISTEN KANAAN,20100189,S,31,84.32,84.45,55.48,67.5,63.75,66.46,72.54,01,01,002
14, 01010021,SMA KARTINI 1,20100185,S,27,69.48,59.63,37.04,38.75,42.5,46.38,52.81,01,01,002
15, 01010022,SMA KRISTEN 3 BPK PENABUR,20100187,S,124,86.94,91.61,85.34,89.95,86.22,81.7,87.66,01,01,002
16, 01010025,SMA MUHAMMADIYAH 2,20100182,S,35,67.2,46.8,32.29,40,40.11,47.08,47.2,01,01,002
17, 01010026,SMA PASKALIS,20100173,S,12,75.17,57.17,38.96,38.75,40,47.5,53.55,01,01,002
18, 01010027,SMA PERGURUAN KSATRYA,20100193,S,35,74.86,56.23,35.64,36.67,43.96,48.53,52.92,01,01,002
19, 01010032,SMA TAMAN MADYA 1,20100181,S,35,68.69,48.8,33.07,40.5,47,58,51.12,01,01,003
20, 01010033,SMA TAMAN MADYA 5,20100196,S,21,62.57,45.43,37.98,35.71,-,-,45.43,01,01,003
21, 01010038,SMA NEGERI 1,20100216,N,145,86.15,84.14,59.34,65.64,67.5,65.33,73.87,01,01,003
22, 01010039,SMA NEGERI 10,20100217,N,71,79.24,62.54,38.24,41.25,49.58,53.53,57.36,01,01,003
23, 01010040,SMA NEGERI 20,20100218,N,69,80.61,65.68,40.76,40.31,46.72,49.73,58.48,01,01,004
24, 01010041,SMA ATTAQWA,20100484,S,36,65.17,44.22,31.74,40,36.82,41.85,45.34,01,01,004
25, 01010042,SMA BUDI MULIA,20107249,S,104,84.48,84.94,60.48,58.38,63.63,71.56,73.34,01,01,004
26, 01010043,SMA KRISTEN 2 BPK PENABUR,20100186,S,65,83.05,87.29,65.19,86.73,65.69,72.35,77.23,01,01,004
27, 01010044,SMA KRISTEN KARUNIA,20100190,S,8,83.5,90.75,78.75,86.67,90,83.33,84.81,01,01,004
28, 01010048,SMA SANTA URSULA,20108383,S,111,88.02,93.68,87.66,90.58,86.34,91.25,89.78,01,01,004
29, 01010050,SMA NEGERI 4,20100211,N,107,80.69,75.76,46.14,50.38,59.89,60.74,65.31,01,01,005
30, 01010051,SMA NEGERI 7,20100200,N,139,77.42,61.73,37.64,39.17,49.06,48.46,55.99,01,01,005
31, 01010052,SMA NEGERI 24,20100219,N,108,79.87,71.72,44.31,39.79,65,54.08,61.39,01,01,005
32, 01010053,SMA NEGERI 25,20100221,N,72,79.97,66.86,42.95,48.97,52.5,57.13,61.02,01,01,005
33, 01010054,SMA NEGERI 35,20100212,N,70,84.06,78.6,55.32,67.21,67.08,63.29,70.72,01,01,005
34, 01010055,SMA BUNDA MULIA,20100486,S,37,83.62,85.95,58.85,63.44,78.13,70.95,74.83,01,01,005
35, 01010058,SMA YP. IPPI PETOJO,20100215,S,39,68.26,45.85,32.12,36.67,42.5,47.21,47.63,01,01,005
36, 01010060,SMA KANISIUS,20100170,S,171,87.12,92.2,81.77,91.56,87.42,91.82,88,01,01,006
37, 01010062,SMA KRISTEN BETHEL,20100188,S,7,73.14,60,37.86,-,37.5,55.63,54.72,01,01,006
38, 01010063,SMA MUHAMMADIYAH 14,20100184,S,16,61.25,42.5,27.97,31.25,36.67,42.73,42.97,01,01,006
39, 01010067,SMA SAID NAUM,20108502,S,26,64.31,49.31,29.62,38.75,39.17,46.61,46.58,01,01,006
