,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
58536,67,1901186,SMK NEGERI KEHUTANAN MAKASSAR,40314239,N,96,77.63,62.5,63.83,95.89,"74,96",19,1,186,2017,SULAWESI SELATAN,KOTA MAKASSAR
248,55,101071,SMK F. DITKESAD,20107254,S,88,81.43,75.09,79.72,94.76,"82,75",1,1,71,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
62085,6,2201007,SMK FARMASI SARASWATI 3 DENPASAR,50103633,S,96,75.54,53.94,51.02,93.45,"68,49",22,1,7,2017,BALI,KOTA DENPASAR
51414,211,1207121,SMK-SUPM NEGERI KOTA AGUNG,69772845,N,113,69.4,38.67,34.78,92.07,"58,73",12,7,121,2017,LAMPUNG,KABUPATEN TANGGAMUS
55216,47,1601057,SMK KEHUTANAN NEGERI SAMARINDA,30407651,N,87,78.18,65.79,64.31,91.16,"74,86",16,1,57,2017,KALIMANTAN TIMUR,KOTA SAMARINDA
65013,94,2406008,SMK NEGERI MARITAING,69725863,N,41,39.37,74.88,58.84,90.57,"65,92",24,6,8,2017,NUSA TENGGARA TIMUR,KABUPATEN ALOR
55695,100,1604005,SMK YPK TENGGARONG,30400213,S,274,69.23,68.75,77.91,90.38,"76,57",16,4,5,2017,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
3950,34,201134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,33,83.15,68.0,76.97,90.31,"79,61",2,1,134,2017,JAWA BARAT,KOTA BANDUNG
40374,134,701252,SMK SWASTA DR SJAHRIR,69727262,S,42,73.86,59.29,57.92,89.7,"70,19",7,1,252,2017,SUMATERA UTARA,KOTA MEDAN
12672,1539,216122,SMK FARMASI MUHAMMADIYAH CIREBON,20244686,S,113,78.5,54.48,74.69,89.4,"74,27",2,16,122,2017,JAWA BARAT,KABUPATEN CIREBON
19002,105,302207,SMK FARMASI NASIONAL SURAKARTA,20331830,S,114,83.93,69.16,83.18,89.39,"81,42",3,2,207,2017,JAWA TENGAH,KOTA SURAKARTA
1952,258,104007,SMK FARMASI LPK,20107350,S,21,76.29,59.14,61.67,89.33,"71,61",1,4,7,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
43214,567,715120,SMK SWASTA FAJAR MANDIRI,10259162,S,31,70.9,51.35,71.69,89.0,"70,74",7,15,120,2017,SUMATERA UTARA,KABUPATEN LABUHANBATU
64312,223,2309074,SMK NW NUSA JAYA LANCI,50220363,S,11,43.09,39.27,52.5,88.96,"55,96",23,9,74,2017,NUSA TENGGARA BARAT,KABUPATEN DOMPU
2016,322,104082,SMK FARMASI BHUMI HUSADA,20109547,S,25,72.96,51.76,56.1,88.75,"67,39",1,4,82,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
