,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
187,56,101071,SMK F. DITKESAD,20107254,S,87,88.64,87.22,95.26,93.46,"91,15",1,1,71,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
43197,565,715133,SMK SWASTA AL-AZIS,69786963,S,30,86.47,92.73,95.42,83.29,"89,48",7,15,133,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43184,552,715114,SMK SWASTA HARAPAN ALWASHLIYAH SIGAMBAL,10259164,S,81,85.14,90.84,93.8,80.86,"87,66",7,15,114,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43196,564,715132,SMK NEGERI 1 BILAH HILIR,69786966,N,94,85.81,92.45,95.03,76.79,"87,52",7,15,132,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43187,555,715120,SMK SWASTA FAJAR MANDIRI,10259162,S,15,86.67,93.2,96.33,73.13,"87,33",7,15,120,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43180,548,715109,SMK SWASTA SITI BANUN SIGAMBAL,10205184,S,80,84.15,93.4,86.81,84.32,"87,17",7,15,109,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
40221,132,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,12,83.5,90.0,85.83,88.81,"87,04",7,1,246,2016,SUMATERA UTARA,KOTA MEDAN
44141,723,724130,SMK NEGERI 1 OOU,10261293,N,29,84.69,92.9,90.09,79.48,"86,79",7,24,130,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
43178,546,715106,SMK SWASTA TELADAN RANTAUPRAPAT,10220858,S,104,85.13,93.19,85.34,82.83,"86,62",7,15,106,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
44887,826,731101,SMK SWASTA KH. DEWANTARA KOTAPINANG,10205193,S,380,86.52,93.2,85.41,80.4,"86,38",7,31,101,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU SELATAN
27810,117,404101,SMK NEGERI 2 DEPOK,20401315,N,464,87.96,81.01,90.7,84.79,"86,12",4,4,101,2016,DI YOGYAKARTA,KABUPATEN SLEMAN
43199,567,715135,SMK SWASTA ALWASHLIYAH PANAI HULU,69793015,S,12,84.83,91.0,90.63,77.17,"85,91",7,15,135,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43188,556,715121,SMK NEGERI 1 PANAI HILIR,10260527,N,95,84.86,91.58,92.76,74.37,"85,89",7,15,121,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43173,541,715101,SMK NEGERI 1 RANTAU UTARA,10220863,N,335,85.23,92.85,83.04,82.06,"85,80",7,15,101,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43185,553,715118,SMK SWASTA METHODIST AEKNABARA,10205191,S,62,86.65,92.13,80.56,83.47,"85,70",7,15,118,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43191,559,715124,SMK SWASTA INDONESIA MEMBANGUN,10261712,S,52,86.12,86.31,93.08,76.43,"85,49",7,15,124,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43177,545,715105,SMK SWASTA PGRI 15 RANTAUPRAPAT,10205186,S,74,84.86,91.92,81.55,82.3,"85,16",7,15,105,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
45112,866,733105,SMK NEGERI 1 MANDREHE,10260096,N,84,80.43,92.02,88.51,77.06,"84,51",7,33,105,2016,SUMATERA UTARA,KABUPATEN NIAS BARAT
41682,274,709108,SMK SWASTA KARYA SERDANG 1,10214086,S,65,78.98,82.92,93.31,79.35,"83,64",7,9,108,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
60844,40,2004103,SMK NEGERI 3 RAHA,40400772,N,71,84.54,87.44,81.62,79.38,"83,25",20,4,103,2016,SULAWESI TENGGARA,KABUPATEN MUNA
2897,549,105179,SMK ANALIS KESEHATAN DITKESAD,20109930,S,87,79.68,82.23,87.1,83.79,"83,20",1,5,179,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
18492,7,301007,SMK NEGERI  7 SEMARANG,20337604,N,591,85.84,74.27,84.57,88.04,"83,18",3,1,7,2016,JAWA TENGAH,KOTA SEMARANG
16626,2148,224210,SMK TUNAS BANGSA CIEMAS,69727427,S,20,82.1,83.1,83.0,84.19,"83,10",2,24,210,2016,JAWA BARAT,KABUPATEN SUKABUMI
186,55,101070,SMK ST.THERESIA,20100300,S,69,80.0,89.04,82.54,80.51,"83,02",1,1,70,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
44115,697,724104,SMK NEGERI 1 LOLOWAU,10258244,N,102,83.12,82.59,88.28,77.7,"82,92",7,24,104,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
43174,542,715102,SMK NEGERI 2 RANTAU UTARA,10205204,N,333,81.25,85.75,86.28,78.23,"82,88",7,15,102,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
2914,566,105256,SMK CARAKA NUSANTARA,20103769,S,63,86.6,69.87,84.96,89.38,"82,70",1,5,256,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
38264,1618,537114,SMK ISLAM AL - FUTUHIYYAH,20564459,S,20,86.7,76.9,90.88,76.23,"82,68",5,37,114,2016,JAWA TIMUR,KABUPATEN SUMENEP
43190,558,715123,SMK SWASTA CITRA BANGSA AL-ITTIHAD,10261180,S,106,80.11,84.53,87.31,78.48,"82,61",7,15,123,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
2913,565,105255,SMK NEGERI 26,20103787,N,367,81.91,82.08,81.57,84.6,"82,54",1,5,255,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
40185,96,701203,SMK SWASTA YPF SUMATERA UTARA MEDAN,10259241,S,119,82.12,79.03,80.19,88.2,"82,39",7,1,203,2016,SUMATERA UTARA,KOTA MEDAN
39229,95,612018,SMKS TERPADU BABUSSALAM,69787116,S,23,73.83,87.83,83.37,83.2,"82,06",6,12,18,2016,ACEH,KABUPATEN ACEH UTARA
62072,25,2201027,SMK KESEHATAN BALI MEDIKA,50103910,S,209,78.0,81.37,87.17,81.41,"81,99",22,1,27,2016,BALI,KOTA DENPASAR
39220,86,612009,SMK TI DARUL YATAMA,10110792,S,18,71.78,88.56,85.14,82.37,"81,96",6,12,9,2016,ACEH,KABUPATEN ACEH UTARA
43194,562,715129,SMK SWASTA DAARUL MUHSININ,69734384,S,24,83.42,82.25,83.85,78.23,"81,94",7,15,129,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43758,657,720120,SMK SWASTA INDONESIA MEMBANGUN TARUNA,10261979,S,59,83.19,78.71,86.19,78.42,"81,63",7,20,120,2016,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR
38809,23,603013,SMK KESEHATAN YAYASAN HARAPAN BANGSA DARUSSALAM,69822677,S,27,72.15,81.48,81.39,90.91,"81,48",6,3,13,2016,ACEH,KOTA LHOKSEUMAWE
44404,758,726122,SMK SWASTA YAPIM SEI BAMBAN,10209283,S,65,83.08,77.32,86.04,79.06,"81,38",7,26,122,2016,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
41780,372,709241,SMK SWASTA CERDAS MURNI,10262131,S,57,82.53,76.56,85.04,81.23,"81,34",7,9,241,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
44407,761,726127,SMK SWASTA YAPIM TEBING SYAHBANDAR,10261174,S,66,82.64,77.0,85.11,79.74,"81,12",7,26,127,2016,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
3822,33,201134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20247289,S,55,85.49,73.31,78.09,87.38,"81,07",2,1,134,2016,JAWA BARAT,KOTA BANDUNG
44899,838,731113,SMK NEGERI 1 SILANGKITANG,10262240,N,21,83.05,83.62,79.4,78.17,"81,06",7,31,113,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU SELATAN
44414,768,726134,SMK NEGERI 1 PERBAUNGAN,10262365,N,193,82.74,77.64,84.88,78.54,"80,95",7,26,134,2016,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
41721,313,709159,SMK SWASTA SINGOSARI 1,10260014,S,39,82.67,76.0,85.13,79.85,"80,91",7,9,159,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
40188,99,701206,SMK SWASTA PHARMACA MEDAN,10259229,S,101,80.12,75.56,77.45,90.47,"80,90",7,1,206,2016,SUMATERA UTARA,KOTA MEDAN
40811,185,702135,SMK KESEHATAN MUTIARA HUSADA SIANTAR,69764521,S,75,73.6,79.23,83.73,86.73,"80,82",7,2,135,2016,SUMATERA UTARA,KOTA PEMATANGSIANTAR
61563,35,2103113,SMK NEGERI SERAM UTARA TIMUR KOBI,60103854,N,24,80.67,80.75,86.15,75.6,"80,79",21,3,113,2016,MALUKU,MALUKU TENGAH
39223,89,612012,SMK BUSTANUL YATAMA,10112955,S,12,70.67,85.0,83.96,83.43,"80,77",6,12,12,2016,ACEH,KABUPATEN ACEH UTARA
44409,763,726129,SMK SWASTA AL WASHLIYAH 9 PERBAUNGAN,10209391,S,20,83.7,78.8,74.75,85.61,"80,72",7,26,129,2016,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
42583,446,711105,SMK SWASTA ISLAM SIMALUNGUN,10202752,S,14,85.71,76.86,75.89,83.94,"80,60",7,11,105,2016,SUMATERA UTARA,KABUPATEN SIMALUNGUN
43192,560,715126,SMK SWASTA SARTIKA,69727369,S,52,78.23,81.5,79.23,83.38,"80,59",7,15,126,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
2798,450,105068,SMK NEGERI 48,20103784,N,267,80.57,78.51,78.46,84.81,"80,59",1,5,68,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
40128,39,701141,SMK SWASTA AL-FATTAH MEDAN,10211064,S,119,80.76,76.39,84.73,80.24,"80,53",7,1,141,2016,SUMATERA UTARA,KOTA MEDAN
51173,158,1205111,SMKN 1 PAGAR DEWA,10815004,N,43,77.53,85.21,74.59,84.72,"80,51",12,5,111,2016,LAMPUNG,KABUPATEN LAMPUNG BARAT
43182,550,715111,SMK SWASTA BUDI RANTAUPRAPAT,10205205,S,33,79.39,83.52,75.08,83.63,"80,41",7,15,111,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
44130,712,724119,SMK NEGERI 1 LOLOMATUA,10260462,N,72,82.0,79.11,85.87,74.32,"80,33",7,24,119,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
39224,90,612013,SMK FARMASI CITRA BANGSA,10113041,S,23,66.09,84.96,82.83,87.33,"80,30",6,12,13,2016,ACEH,KABUPATEN ACEH UTARA
