,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
55752,120,1604026,SMK NEGERI 1 LOA JANAN,30405790,N,15,91.73,78.67,56.17,17.83,"61,10",16,4,26,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
61833,82,2108112,SMK NEGERI 4 KAIRATU,69857916,N,84,89.76,66.93,67.83,75.8,"75,08",21,8,112,2018,MALUKU,SERAM BAGIAN BARAT
66182,72,2508003,SMK NEGERI 1 PANIAI,69888882,N,53,87.74,73.28,82.36,39.67,"70,76",25,8,3,2018,PAPUA,KABUPATEN PANIAI
61764,67,2107104,SMK NEGERI 1 SERAM TIMUR,60103634,N,49,87.55,77.27,63.42,79.64,"76,97",21,7,104,2018,MALUKU,SERAM BAGIAN TIMUR
56239,209,1610002,SMK CAHAYA MULIA LONG BAGUN,60726654,S,27,86.96,52.67,63.33,50.19,"63,29",16,10,2,2018,KALIMANTAN TIMUR,KABUPATEN MAHAKAM ULU
20928,410,311002,SMK NEGERI 1 KARANGANYAR,20330331,N,427,86.3,64.98,84.13,69.22,"76,16",3,11,2,2018,JAWA TENGAH,KABUPATEN KEBUMEN
19533,194,306002,SMK NEGERI 2 MAGELANG,20327586,N,353,86.05,69.12,74.26,72.4,"75,46",3,6,2,2018,JAWA TENGAH,KOTA MAGELANG
27983,172,404900,SMK NEGERI 2 DEPOK,20401315,N,507,85.77,76.05,73.34,58.14,"73,33",4,4,900,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
67501,89,2708003,SMK NEGERI 1 MANGOLI BARAT,60202245,N,20,85.7,76.6,79.0,48.0,"72,33",27,8,3,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
29175,146,502143,SMK TELKOM SANDHY PUTRA,20533803,S,389,85.67,81.17,68.08,71.16,"76,52",5,2,143,2018,JAWA TIMUR,KOTA MALANG
4078,34,201134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,47,85.49,73.74,65.69,92.39,"79,33",2,1,134,2018,JAWA BARAT,KOTA BANDUNG
308,54,101070,SMK ST.THERESIA,20100300,S,74,85.46,87.05,79.32,71.79,"80,91",1,1,70,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
28218,173,405101,SMK NEGERI 1 WONOSARI,20402128,N,406,85.37,66.49,73.26,62.76,"71,97",4,5,101,2018,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
27628,80,403101,SMK NEGERI 1 PENGASIH,20402788,N,317,85.31,66.32,74.8,59.79,"71,56",4,3,101,2018,DI YOGYAKARTA,KABUPATEN KULON PROGO
67509,97,2708011,SMK NEGERI MANGOLI TENGAH,60202463,N,57,85.23,76.07,71.14,71.36,"75,95",27,8,11,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
20929,411,311003,SMK NEGERI 1 KEBUMEN,20330332,N,498,85.2,68.23,80.13,63.5,"74,27",3,11,3,2018,JAWA TENGAH,KABUPATEN KEBUMEN
67446,84,2707003,SMK PERTAMBANGAN BULI,60203441,S,49,85.1,78.24,67.91,62.3,"73,39",27,7,3,2018,MALUKU UTARA,KABUPATEN HALMAHERA TIMUR
19051,107,302207,SMK FARMASI NASIONAL SURAKARTA,20331830,S,116,85.05,68.05,74.61,66.59,"73,58",3,2,207,2018,JAWA TENGAH,KOTA SURAKARTA
2096,269,104020,SMK NEGERI 8,20102597,N,308,84.88,68.73,80.43,69.77,"75,95",1,4,20,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
3336,580,105902,SMK CARAKA NUSANTARA,20103769,S,76,84.84,68.68,77.96,64.51,"74,00",1,5,902,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
55899,140,1605004,SMK MUHAMMADIYAH SANGKULIRANG,30404457,S,66,84.64,61.3,57.5,40.11,"60,89",16,5,4,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI TIMUR
27165,25,401133,SMK NEGERI TEKNOLOGI INDUSTRI,20407427,N,218,84.63,72.31,75.3,57.21,"72,36",4,1,133,2018,DI YOGYAKARTA,KOTA YOGYAKARTA
27387,31,402101,SMK NEGERI 1 BANTUL,20400416,N,515,84.59,66.13,67.52,62.12,"70,09",4,2,101,2018,DI YOGYAKARTA,KABUPATEN BANTUL
21475,516,313001,SMK NEGERI 1 PURWOREJO,20306180,N,383,84.57,66.5,61.73,61.83,"68,66",3,13,1,2018,JAWA TENGAH,KABUPATEN PURWOREJO
61914,92,2110103,SMK NEGERI NAMROLE,60103929,N,39,84.56,75.49,67.69,73.08,"75,21",21,10,103,2018,MALUKU,BURU SELATAN
309,55,101071,SMK F. DITKESAD,20107254,S,89,84.47,70.65,80.98,82.25,"79,59",1,1,71,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
20927,409,311001,SMK NEGERI 1 GOMBONG,20330330,N,533,84.44,65.6,64.41,52.73,"66,80",3,11,1,2018,JAWA TENGAH,KABUPATEN KEBUMEN
73279,40,3308002,SMK NEGERI INANWATAN,69725941,N,28,84.43,72.36,67.59,52.05,"69,11",33,8,2,2018,PAPUA BARAT,KABUPATEN SORONG SELATAN
23838,925,323003,SMK NEGERI 3 JEPARA,20318318,N,463,84.19,63.99,61.9,62.75,"68,21",3,23,3,2018,JAWA TENGAH,KABUPATEN JEPARA
27164,24,401132,SMK INDONESIA YOGYAKARTA,20407373,S,250,84.18,68.1,65.72,64.62,"70,66",4,1,132,2018,DI YOGYAKARTA,KOTA YOGYAKARTA
23044,792,320001,SMK NEGERI 1 SUKOHARJO,20310436,N,355,84.17,67.08,72.94,69.74,"73,48",3,20,1,2018,JAWA TENGAH,KABUPATEN SUKOHARJO
61310,125,2014103,SMKN 2 KONAWE KEPULAUAN,69932588,N,23,84.09,68.78,45.22,18.91,"54,25",20,14,103,2018,SULAWESI TENGGARA,KABUPATEN KONAWE KEPULAUAN
67508,96,2708010,SMK NEGERI SULABESI TENGAH,60202450,N,26,84.0,76.0,79.71,51.63,"72,84",27,8,10,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
705,81,102023,SMK NEGERI 23 JAKARTA,20107433,N,202,83.97,63.08,69.48,65.01,"70,39",1,2,23,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
24258,1001,325005,SMK NEGERI JAWA TENGAH,69859763,N,48,83.96,65.92,77.19,74.11,"75,30",3,25,5,2018,JAWA TENGAH,KABUPATEN PATI
67505,93,2708007,SMK NEGERI 2 MANGOLI BARAT,69769381,N,20,83.6,74.8,69.5,42.5,"67,60",27,8,7,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
18750,89,301907,SMK NEGERI  7 SEMARANG,20337604,N,600,83.53,74.15,66.0,60.07,"70,94",3,1,907,2018,JAWA TENGAH,KOTA SEMARANG
20621,380,310003,SMK NEGERI 1 PURBALINGGA,20303240,N,453,83.52,63.5,65.7,66.95,"69,92",3,10,3,2018,JAWA TENGAH,KABUPATEN PURBALINGGA
18673,12,301012,SMK NEGERI JAWA TENGAH,69859366,N,118,83.49,68.68,75.64,65.74,"73,39",3,1,12,2018,JAWA TENGAH,KOTA SEMARANG
19080,136,302238,SMK IT SMART INFORMATIKA,20362528,S,57,83.47,72.28,74.69,60.75,"72,80",3,2,238,2018,JAWA TENGAH,KOTA SURAKARTA
5566,290,204108,"SMK SMAK BOGOR, KOTA BOGOR",20238524,N,270,83.44,78.49,83.81,62.57,"77,08",2,4,108,2018,JAWA BARAT,KOTA BOGOR
27926,115,404101,SMK NEGERI 2 DEPOK,20401315,N,487,83.31,73.86,84.53,58.7,"75,10",4,4,101,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
27954,143,404131,SMK NEGERI 1 DEPOK,20401193,N,286,83.27,65.5,70.45,67.74,"71,74",4,4,131,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
