,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
38812,190,701250,SMA SWASTA SINGAPORE SCHOOL MEDAN,10260261.0,S,1,76.0,74.0,97.5,92.5,58.0,68.0,0.0,7,1,250,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
34710,2576,537546,MA MISBAHUL MUNIR,20584721.0,S,26,82.15,67.46,92.69,90.58,71.54,92.08,0.0,5,37,546,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34714,2580,537550,MA TAHDITS AGUNG DAMAR,20584738.0,S,20,78.3,65.6,81.38,90.25,70.9,89.4,0.0,5,37,550,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
38732,110,701119,SMA SWASTA BUDI LUHUR MEDAN,10210812.0,S,3,59.33,71.33,85.0,90.0,63.33,84.0,0.0,7,1,119,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
34758,2624,537597,MA AS SALAFIYAH,60728162.0,S,13,71.85,66.62,78.27,90.0,62.15,68.92,0.0,5,37,597,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
38714,92,701098,SMA SWASTA KATOLIK ST. IGNATIUS MEDAN,10259081.0,S,3,84.67,72.0,87.5,90.0,63.33,83.33,0.0,7,1,98,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
34681,2547,537517,MA AN-NAJAH I,20584699.0,S,67,80.45,66.66,83.54,89.89,67.91,90.72,0.0,5,37,517,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34794,2660,537635,MA AL-ISTIQMAL,20577775.0,S,15,84.0,64.8,83.17,89.83,68.4,89.87,0.0,5,37,635,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
48423,428,908108,MAS PP. DARUSSALAM SARAN KABUN,60729904.0,S,14,68.29,41.29,60.71,89.82,45.0,49.29,0.0,9,8,108,2016,RIAU,RIAU,KABUPATEN ROKAN HULU
65624,105,1706020,MA YAPIST TAHUNA,40105188,S,12,74.0,51.83,76.46,89.79,69.83,72.33,0.0,17,6,20,2016,SULAWESI UTARA,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE
