,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
67581,117,27100007,SMK NEGERI 1 TALIABU SELATAN,60202247,N,42,59.57,85.48,57.98,40.65,"60,92",27,10,0,2019,MALUKU UTARA,KABUPATEN PULAU TALIABU
67579,115,27100005,SMK NEGERI 1 TALIABU TIMUR,60203626,N,18,59.22,84.44,63.89,42.36,"62,48",27,10,0,2019,MALUKU UTARA,KABUPATEN PULAU TALIABU
367,52,1010070,SMK ST.THERESIA,20100300,S,69,86.64,84.03,76.2,60.69,"76,89",1,1,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
44280,780,7240138,SMK SWASTA AMAL MAS 1 LAHUSA,10262387,S,17,58.0,83.29,40.88,10.0,"48,04",7,24,13,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
351,36,1010048,SMK SAINT JOHN,20100298,S,12,87.67,81.83,74.17,56.67,"75,09",1,1,4,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
67363,66,27050010,SMK PEDULI BANGSA,60205824,S,38,60.89,81.0,77.37,36.18,"63,86",27,5,1,2019,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
5764,392,2040908,SMK SMAK BOGOR (4 TH KELAS 3),2023x,N,275,89.01,80.97,70.15,60.47,"75,15",2,4,90,2019,JAWA BARAT,KOTA BOGOR
40675,127,7010246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,15,76.4,80.8,67.0,83.33,"76,88",7,1,24,2019,SUMATERA UTARA,KOTA MEDAN
44289,789,7240147,SMK NEGERI 1 HILISALAWAAHE,69947911,N,18,56.78,80.11,82.78,14.17,"58,46",7,24,14,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
44283,783,7240141,SMK NEGERI 2 ARAMO,10262392,N,17,53.06,79.76,49.85,33.09,"53,94",7,24,14,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
366,51,1010069,SMK ST. MARIA,20100299,S,139,79.65,79.65,59.41,59.53,"69,56",1,1,6,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
67365,68,27050012,SMK BPD TOMARA,60205826,S,18,75.67,79.22,77.08,28.06,"65,01",27,5,1,2019,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
359,44,1010061,SMK REX MUNDI,20108514,S,59,81.39,79.08,62.92,65.89,"72,32",1,1,6,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
44286,786,7240144,SMK SWASTA KRISTEN BNKP HARENORO,69815393,S,15,35.73,79.07,51.33,21.33,"46,87",7,24,14,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
67580,116,27100006,SMK NEGERI 1 TABONA,69786942,N,29,59.66,78.76,59.91,42.04,"60,09",27,10,0,2019,MALUKU UTARA,KABUPATEN PULAU TALIABU
327,12,1010014,SMK BUNDA MULIA 1,20107252,S,124,80.44,78.5,67.5,57.84,"71,07",1,1,1,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
791,87,1020033,SMK DHARMA BUDHI BHAKTI PLUS JAKARTA,20107415,S,20,83.3,78.2,63.25,66.63,"72,85",1,2,3,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
67367,70,27050014,SMK BHINEKA TUNGGAL IKA GANE TIMUR,60205823,S,22,75.0,78.09,69.89,63.41,"71,60",27,5,1,2019,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
42137,386,7090246,SMK SWASTA SMART,69787006,S,2,70.0,78.0,43.75,63.75,"63,88",7,9,24,2019,SUMATERA UTARA,KABUPATEN DELISERDANG
44251,751,7240109,SMK SWASTA NUSANTARA TERPADU,10258238,S,70,54.09,77.69,74.0,28.79,"58,64",7,24,10,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
2335,374,1040160,SMK MUSIK PERGURUAN CIKINI,20107257,S,23,79.65,77.65,44.57,82.17,"71,01",1,4,16,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
67578,114,27100002,SMK NEGERI 1 TALIABU UTARA,60202482,N,32,69.81,77.63,83.59,38.52,"67,39",27,10,0,2019,MALUKU UTARA,KABUPATEN PULAU TALIABU
69711,247,30040058,SMK MUSIK YMJ,20615180,S,17,78.35,77.53,52.79,66.91,"68,90",30,4,5,2019,BANTEN,KOTA TANGERANG SELATAN
44265,765,7240123,SMK NEGERI 1 ARAMO,10260683,S,23,51.04,76.7,67.07,30.76,"56,39",7,24,12,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
371,56,1010076,SMK F PENABUR,20109314,S,29,87.38,76.34,67.41,59.05,"72,55",1,1,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
29229,145,5020143,SMK TELKOM SANDHY PUTRA,20533803,S,444,87.7,76.32,61.8,71.58,"74,35",5,2,14,2019,JAWA TIMUR,KOTA MALANG
67366,69,27050013,SMK CERDAS BANGSA,69786552,S,36,64.72,76.06,74.31,33.54,"62,16",27,5,1,2019,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
72188,10,31020039,SMK YEHONALA BATAM,69786477,S,28,78.57,75.5,54.82,66.43,"68,83",31,2,3,2019,KEPULAUAN RIAU,KOTA BATAM
4203,34,2010134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,63,88.35,75.33,68.02,93.13,"81,21",2,1,13,2019,JAWA BARAT,KOTA BANDUNG
40681,133,7010252,SMK SWASTA DR SJAHRIR,69727262,S,13,83.85,75.08,66.73,81.73,"76,85",7,1,25,2019,SUMATERA UTARA,KOTA MEDAN
71829,613,30080124,SMK ATISA DIPAMKARA,20616396,S,64,81.03,75.0,57.27,49.65,"65,74",30,8,12,2019,BANTEN,KABUPATEN TANGERANG
72219,41,31020230,SMK GLOBE NATIONAL PLUS,60728422,S,30,67.47,74.6,36.83,48.75,"56,91",31,2,23,2019,KEPULAUAN RIAU,KOTA BATAM
2287,326,1040092,SMK TARAKANITA,20102435,S,56,81.18,74.07,67.5,61.65,"71,10",1,4,9,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
69168,170,30020127,SMK BUDI LUHUR,69950633,S,34,80.65,74.0,43.16,62.79,"65,15",30,2,12,2019,BANTEN,KOTA TANGERANG
373,58,1010079,SMKS KRISTEN KANAAN,20177909,S,56,77.25,73.86,41.56,42.41,"58,77",1,1,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
3531,578,1050902,SMK CARAKA NUSANTARA,0,S,53,86.98,73.77,82.59,57.69,"75,26",1,5,90,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
72233,55,31020248,SMK MAITREYAWIRA,69872145,S,98,76.16,73.67,57.5,52.68,"65,00",31,2,24,2019,KEPULAUAN RIAU,KOTA BATAM
72210,32,31020221,SMK HARAPAN UTAMA,11003007,S,37,67.41,73.41,48.58,48.78,"59,55",31,2,22,2019,KEPULAUAN RIAU,KOTA BATAM
28040,171,4040900,SMK NEGERI 2 DEPOK,20401315,N,590,89.15,73.37,66.98,57.87,"71,84",4,4,90,2019,DI YOGYAKARTA,KABUPATEN SLEMAN
44282,782,7240140,SMK NEGERI 1 UMBUNASI,10262391,N,32,53.19,73.31,46.64,10.23,"45,84",7,24,14,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
19129,133,3020238,SMK IT SMART INFORMATIKA,20362528,S,47,88.81,72.68,59.47,61.28,"70,56",3,2,23,2019,JAWA TENGAH,KOTA SURAKARTA
44269,769,7240127,SMK NEGERI 2 SIDUA ORI,10261296,N,32,60.13,72.5,55.0,38.91,"56,64",7,24,12,2019,SUMATERA UTARA,KABUPATEN NIAS SELATAN
5135,230,2030190,"SMK TUNAS JAKASAMPURNA, KOTA BEKASI",20271398,S,22,77.82,72.45,37.05,44.55,"57,97",2,3,19,2019,JAWA BARAT,KOTA BEKASI
72197,19,31020207,SMK PERMATA HARAPAN BATAM,11002211,S,90,78.6,72.42,50.75,57.69,"64,87",31,2,20,2019,KEPULAUAN RIAU,KOTA BATAM
72218,40,31020229,SMK PUTRA BATAM,60728423,S,30,78.8,72.27,54.25,62.42,"66,94",31,2,22,2019,KEPULAUAN RIAU,KOTA BATAM
368,53,1010071,SMK F. DITKESAD,20107254,S,86,82.26,72.21,67.97,70.81,"73,31",1,1,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
18816,65,3010260,SMK NUSAPUTERA 1,20340722,S,23,80.09,72.09,41.09,51.2,"61,12",3,1,26,2019,JAWA TENGAH,KOTA SEMARANG
352,37,1010049,SMK STRADA I,20100303,S,142,81.59,72.04,73.43,66.11,"73,29",1,1,4,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
73167,18,33020011,SMK KESEHATAN NUSANTARA KOTA SORONG,60404132,S,76,71.95,72.03,55.26,65.23,"66,12",33,2,1,2019,PAPUA BARAT,KOTA SORONG
46621,56,9010234,SMK METTA MAITREYA,69912067,S,34,80.94,71.53,57.57,60.37,"67,60",9,1,23,2019,RIAU,KOTA PEKANBARU
18837,86,3010907,SMK NEGERI  7 SEMARANG,20337604,N,671,88.61,71.49,61.38,56.43,"69,48",3,1,90,2019,JAWA TENGAH,KOTA SEMARANG
52762,14,13010014,SMK IMMANUEL PONTIANAK,30105216,S,207,81.02,71.46,65.94,66.07,"71,12",13,1,1,2019,KALIMANTAN BARAT,KOTA PONTIANAK
2306,345,1040115,SMK NEGERI 57,20102598,N,335,84.04,71.44,53.47,70.43,"69,85",1,4,11,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
3530,577,1050901,SMKN 26 JAKARTA 4 TH,0,N,371,86.15,71.35,62.08,51.58,"67,79",1,5,90,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
67371,74,27050018,SMK PERIKANAN GLOBAL PRATAMA,69903981,S,27,55.48,71.33,61.94,25.74,"53,62",27,5,1,2019,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
69139,141,30020098,SMK MUTIARA BANGSA 1,20616312,S,102,77.71,71.04,48.53,53.41,"62,67",30,2,9,2019,BANTEN,KOTA TANGERANG
1490,201,1030084,SMK PELITA IV,20101518,S,139,75.25,70.83,48.51,56.53,"62,78",1,3,8,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
