,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
43187,555,715120,SMK SWASTA FAJAR MANDIRI,10259162,S,15,86.67,93.2,96.33,73.13,"87,33",7,15,120,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
44142,724,724131,SMK NEGERI 1 HURUNA,10261294,N,22,67.64,76.0,95.91,78.84,"79,60",7,24,131,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
43197,565,715133,SMK SWASTA AL-AZIS,69786963,S,30,86.47,92.73,95.42,83.29,"89,48",7,15,133,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
187,56,101071,SMK F. DITKESAD,20107254,S,87,88.64,87.22,95.26,93.46,"91,15",1,1,71,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
43196,564,715132,SMK NEGERI 1 BILAH HILIR,69786966,N,94,85.81,92.45,95.03,76.79,"87,52",7,15,132,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
40236,147,701261,SMK SWASTA ASSYAFIIYAH,69816260,S,39,81.85,66.15,94.36,76.59,"79,74",7,1,261,2016,SUMATERA UTARA,KOTA MEDAN
43184,552,715114,SMK SWASTA HARAPAN ALWASHLIYAH SIGAMBAL,10259164,S,81,85.14,90.84,93.8,80.86,"87,66",7,15,114,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43654,637,719115,SMK NEGERI 2 BOTOMUZOI,69756820,N,31,61.61,67.74,93.63,70.11,"73,27",7,19,115,2016,SUMATERA UTARA,KABUPATEN NIAS
44116,698,724105,SMK NEGERI 1 GOMO,10258243,N,19,74.11,78.63,93.42,64.57,"77,68",7,24,105,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
41682,274,709108,SMK SWASTA KARYA SERDANG 1,10214086,S,65,78.98,82.92,93.31,79.35,"83,64",7,9,108,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
43191,559,715124,SMK SWASTA INDONESIA MEMBANGUN,10261712,S,52,86.12,86.31,93.08,76.43,"85,49",7,15,124,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43188,556,715121,SMK NEGERI 1 PANAI HILIR,10260527,N,95,84.86,91.58,92.76,74.37,"85,89",7,15,121,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
44152,734,724142,SMK NEGERI 2 HURUNA,69817021,N,16,66.63,63.13,92.5,69.87,"73,03",7,24,142,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
61899,84,2110106,SMK NEGERI SIMI,60103991,N,40,74.2,62.65,92.0,69.65,"74,63",21,10,106,2016,MALUKU,BURU SELATAN
38264,1618,537114,SMK ISLAM AL - FUTUHIYYAH,20564459,S,20,86.7,76.9,90.88,76.23,"82,68",5,37,114,2016,JAWA TIMUR,KABUPATEN SUMENEP
27810,117,404101,SMK NEGERI 2 DEPOK,20401315,N,464,87.96,81.01,90.7,84.79,"86,12",4,4,101,2016,DI YOGYAKARTA,KABUPATEN SLEMAN
43199,567,715135,SMK SWASTA ALWASHLIYAH PANAI HULU,69793015,S,12,84.83,91.0,90.63,77.17,"85,91",7,15,135,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
17785,2304,226158,SMK AZZAHRA,20268982,S,31,67.94,75.81,90.4,82.36,"79,13",2,26,158,2016,JAWA BARAT,KABUPATEN TASIKMALAYA
44141,723,724130,SMK NEGERI 1 OOU,10261293,N,29,84.69,92.9,90.09,79.48,"86,79",7,24,130,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
73124,14,3302005,SMK PELAYARAN PUTRA SAMUDRA SORONG,60400389,S,46,63.78,57.78,89.84,72.54,"70,99",33,2,5,2016,PAPUA BARAT,KOTA SORONG
2942,594,105902,SMK CARAKA NUSANTARA,20103769,S,73,82.05,77.97,89.55,0.0,"62,39",1,5,902,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
17779,2298,226152,SMK CENDEKIA,20268017,S,206,78.47,71.77,88.87,77.53,"79,16",2,26,152,2016,JAWA BARAT,KABUPATEN TASIKMALAYA
73129,19,3302011,SMK KESEHATAN NUSANTARA KOTA SORONG,60404132,S,112,77.29,75.32,88.79,77.84,"79,81",33,2,11,2016,PAPUA BARAT,KOTA SORONG
44113,695,724102,SMK NEGERI 1 FANAYAMA,10260459,N,22,61.45,74.55,88.75,74.73,"74,87",7,24,102,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
45112,866,733105,SMK NEGERI 1 MANDREHE,10260096,N,84,80.43,92.02,88.51,77.06,"84,51",7,33,105,2016,SUMATERA UTARA,KABUPATEN NIAS BARAT
24610,1041,327217,SMK MIFTAHUL QULUB,20341389,S,11,64.73,65.64,88.41,79.23,"74,50",3,27,217,2016,JAWA TENGAH,KABUPATEN DEMAK
44115,697,724104,SMK NEGERI 1 LOLOWAU,10258244,N,102,83.12,82.59,88.28,77.7,"82,92",7,24,104,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
37960,1566,536112,SMK NURUL ISLAM,20573215,S,20,68.9,63.5,88.0,66.29,"71,67",5,36,112,2016,JAWA TIMUR,KABUPATEN SAMPANG
37975,1581,536129,SMK AL MUNIR SAMPANG,60724839,S,3,65.33,35.33,87.5,61.03,"62,30",5,36,129,2016,JAWA TIMUR,KABUPATEN SAMPANG
43190,558,715123,SMK SWASTA CITRA BANGSA AL-ITTIHAD,10261180,S,106,80.11,84.53,87.31,78.48,"82,61",7,15,123,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
