,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
54166,558,1112526,MAS DARUL FUNUN,69788155.0,S,10,90.6,51.4,74.0,54.75,60.0,68.0,0.0,11,12,526,2016,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN ILIR
48701,502,909125,MA SWASTA AL IMRAN NURUL YAQIN,10498857.0,S,11,88.18,55.27,56.59,63.18,60.55,68.36,0.0,9,9,125,2016,RIAU,RIAU,KABUPATEN ROKAN HILIR
34726,2592,537564,MA AT TARBIYAH,20584705.0,S,15,87.73,75.73,94.0,77.83,71.47,92.4,0.0,5,37,564,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34741,2607,537580,MA KASYFUD DUJA,20584707.0,S,45,87.51,61.78,82.39,84.33,43.24,88.04,0.0,5,37,580,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
74587,220,2108023,SMA NEGERI PULAU MANIPA,60103465,N,18,87.44,66.0,89.17,35.14,65.56,66.11,0.0,21,8,23,2016,MALUKU,MALUKU,SERAM BAGIAN BARAT
34792,2658,537633,MA MATLAUL AMIEN,20577780.0,S,22,87.18,76.09,90.57,71.93,66.73,92.0,0.0,5,37,633,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
72575,174,2007022,MAN 1 KONAWE SELATAN,40405891,N,40,87.15,63.5,73.13,42.81,50.45,70.1,0.0,20,7,22,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN
54167,559,1112527,MA RAUDHATUL QURAN,10648853.0,S,22,87.09,35.18,69.32,58.41,54.18,42.73,0.0,11,12,527,2016,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN ILIR
34749,2615,537588,MA AS SAADAH,20584702.0,S,9,86.89,73.56,87.5,75.83,62.89,92.22,0.0,5,37,588,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
73872,101,2103056,SMA NEGERI NUSALAUT,60104032,N,22,86.64,62.55,71.36,76.7,67.36,75.91,0.0,21,3,56,2016,MALUKU,MALUKU,MALUKU TENGAH
34630,2496,537029,SMA AL IFTITAHIYAH,20551897.0,S,40,86.35,74.85,94.13,78.06,62.05,93.3,0.0,5,37,29,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34617,2483,537016,SMA 3 AN-NUQAYAH GULUK GULUK,20551887.0,S,33,85.58,74.61,90.0,82.35,63.27,91.58,0.0,5,37,16,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34655,2521,537056,SMA ISLAM NURUL HIDAYAH,69815435.0,S,9,85.56,65.33,60.56,67.78,57.11,78.22,0.0,5,37,56,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
40049,329,708009,SMA NEGERI UNGGULAN SUKMA NIAS,10258468.0,N,40,85.25,65.4,71.63,79.69,71.9,86.45,0.0,7,8,9,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA GUNUNGSITOLI
34626,2492,537025,SMA AL FANISA,20551893.0,S,44,85.23,70.5,84.94,88.86,62.95,92.0,0.0,5,37,25,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
74581,214,2108017,SMA MUHAMMADIYAH LIMBORO,60102474,S,48,84.79,54.17,59.74,70.16,61.5,68.79,0.0,21,8,17,2016,MALUKU,MALUKU,SERAM BAGIAN BARAT
43617,1022,729003,SMA NEGERI 1 SOSA,10207080.0,N,54,84.74,59.85,88.06,70.93,69.89,81.93,0.0,7,29,3,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN PADANGLAWAS
38714,92,701098,SMA SWASTA KATOLIK ST. IGNATIUS MEDAN,10259081.0,S,3,84.67,72.0,87.5,90.0,63.33,83.33,0.0,7,1,98,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
54160,552,1112519,MA PP.DARUL FALAH,10648967.0,S,17,84.59,44.47,77.65,61.62,52.35,48.59,0.0,11,12,519,2016,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN ILIR
83593,20,2702003,SMA NEGERI 3 TIDORE KEPULAUAN,60200949,N,38,84.47,63.26,85.07,63.03,41.58,78.21,0.0,27,2,3,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
35549,2685,538022,SMA ULUL ALBAB,20531149.0,S,26,84.46,68.08,82.31,66.15,58.85,83.08,0.0,5,38,22,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN BANGKALAN
34735,2601,537573,MA SIROJUL AKHYAR,60728168.0,S,54,84.07,74.89,74.12,82.36,62.59,90.52,0.0,5,37,573,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34794,2660,537635,MA AL-ISTIQMAL,20577775.0,S,15,84.0,64.8,83.17,89.83,68.4,89.87,0.0,5,37,635,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
49022,536,910106,MA SWASTA HIDAYATUNNAJAH,10498865.0,S,3,84.0,64.0,76.67,73.33,74.67,80.67,0.0,9,10,106,2016,RIAU,RIAU,KABUPATEN S I A K
73884,113,2103107,MA NURUL HUDA PASAHARI,60105614,S,21,84.0,55.81,82.26,71.31,69.81,69.71,0.0,21,3,107,2016,MALUKU,MALUKU,MALUKU TENGAH
42819,888,724030,SMA NEGERI 2 HURUNA,10258276.0,N,60,83.97,56.43,87.17,74.83,59.87,83.13,0.0,7,24,30,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN NIAS SELATAN
74144,121,2104004,SMA NEGERI AIR BUAYA,60100996,N,43,83.95,53.26,56.45,62.15,45.12,63.72,0.0,21,4,4,2016,MALUKU,MALUKU,BURU
89943,135,3107002,SMA NEGERI 1 JEMAJA,11002044,N,74,83.35,49.89,69.76,67.33,56.16,62.43,0.0,31,7,2,2016,KEPULAUAN RIAU,KEPULAUAN RIAU,KABUPATEN KEPULAUAN ANAMBAS
76800,241,2305096,MA MIFTAHUL MAARIF PLAMBIK,60729938,S,15,83.33,56.4,79.83,61.83,61.07,58.67,0.0,23,5,96,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
65625,106,1706021,MA MUHAMMADYAH PETTA,40105187,S,18,83.33,67.22,78.89,55.83,62.89,81.0,0.0,17,6,21,2016,SULAWESI UTARA,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE
43633,1038,729028,MA SWASTA NU SIBORONG-BORONG,10263566.0,S,17,83.29,40.71,83.68,84.56,65.53,87.88,0.0,7,29,28,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN PADANGLAWAS
91084,83,3307009,SMA NEGERI 6 RAJA AMPAT,60403784,N,12,83.17,57.5,77.29,53.96,59.5,68.0,0.0,33,7,9,2016,PAPUA BARAT,PAPUA BARAT,KABUPATEN RAJA AMPAT
76823,264,2305123,SMA AL - MAARIF NU SINAH PENGEMBUR,50205207,S,19,83.16,47.89,63.29,58.29,51.16,56.0,0.0,23,5,123,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
46907,146,903123,MA SWASTA PLUS SUNGAI TONANG,10498769.0,S,6,83.0,64.67,87.5,56.67,62.33,34.67,0.0,9,3,123,2016,RIAU,RIAU,KABUPATEN K A M P A R
76857,298,2305159,MA ASSYAFIIYAH NW PENANGSAK,69755321,S,2,83.0,45.0,71.25,48.75,52.0,52.0,0.0,23,5,159,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
76833,274,2305133,MA NURUL HIDAYAH REMBITAN,50222562,S,10,83.0,53.4,78.25,63.5,62.6,48.0,0.0,23,5,133,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
76779,220,2305069,MA AL-KHAERIYAH NW PUTRA RAJEK,69733836,S,10,83.0,53.4,65.5,59.25,54.0,63.2,0.0,23,5,69,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
93,30,101048,SMA SANTA URSULA,20108383,S,75,82.99,74.03,88.63,82.03,70.75,84.72,0.0,1,1,48,2016,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
34721,2587,537557,MA MAHWIL UMMIYAH,20577779.0,S,23,82.96,54.87,77.28,87.17,62.78,92.35,0.0,5,37,557,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
76798,239,2305094,MA DARUL HIKMAH DAREK,60729937,S,17,82.94,52.47,71.47,66.03,62.12,39.29,0.0,23,5,94,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
34781,2647,537621,MA AL - MUNAWARAH,20584693.0,S,50,82.92,61.52,79.95,70.1,61.64,92.12,0.0,5,37,621,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
76780,221,2305070,MA AL-KHAERIYAH NW PUTRI RAJEK,69733837,S,17,82.82,51.06,72.35,69.12,67.29,60.47,0.0,23,5,70,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
41008,547,711074,MA SWASTA SURYA AGUNG,60728369.0,S,10,82.8,64.8,83.0,78.75,61.4,80.0,0.0,7,11,74,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
34604,2470,537002,SMA RAUDLATUL ULUM,20551882.0,S,26,82.77,75.85,97.5,76.25,63.46,91.31,0.0,5,37,2,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
38787,165,701206,SMA SWASTA TRI MURNI MEDAN,10210826.0,S,15,82.67,71.6,90.33,87.5,64.27,82.27,0.0,7,1,206,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
76799,240,2305095,MA MANHALUL MAARIF DAREK,50201717,S,18,82.56,52.44,68.75,64.17,62.0,58.44,0.0,23,5,95,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
74583,216,2108019,SMA HUAMUAL BARAT TALAGA,60102708,S,32,82.5,60.06,60.39,45.47,61.75,65.25,0.0,21,8,19,2016,MALUKU,MALUKU,SERAM BAGIAN BARAT
74141,118,2104001,SMA NEGERI 1 NAMLEA,60103372,N,108,82.41,62.13,72.45,71.74,54.11,68.81,0.0,21,4,1,2016,MALUKU,MALUKU,BURU
38670,48,701049,SMA SWASTA KRAKATAU MEDAN,10210740.0,S,20,82.3,71.1,91.38,87.0,62.2,81.6,0.0,7,1,49,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
76781,222,2305071,MA HIDAYATUSSIBYAN NW SENGKERANG,50222864,S,19,82.21,48.42,79.74,65.39,59.89,57.26,0.0,23,5,71,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
34710,2576,537546,MA MISBAHUL MUNIR,20584721.0,S,26,82.15,67.46,92.69,90.58,71.54,92.08,0.0,5,37,546,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
61801,155,1407002,SMA NEGERI 1 BALAI RIAM,30203753.0,N,63,82.1,50.13,64.4,75.0,54.44,82.22,0.0,14,7,2,2016,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN SUKAMARA
16377,471,314004,SMA NEGERI 1 TEMANGGUNG,20321438,N,46,82.04,61.7,79.62,79.35,71.04,86.91,0.0,3,14,4,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN TEMANGGUNG
76865,306,2305168,MA AL IDRISY DURIAN JANAPRIA,69752257,S,20,81.9,51.8,72.38,64.75,58.6,55.7,0.0,23,5,168,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
46923,162,903145,MA SWASTA MIFTAHUL MAARIF,10498189.0,S,12,81.83,48.17,93.33,69.58,51.5,38.0,0.0,9,3,145,2016,RIAU,RIAU,KABUPATEN K A M P A R
34787,2653,537628,MA. NASY-ATUL MUTAALLIMIN,20584723.0,S,34,81.82,71.29,83.75,69.78,63.35,87.41,0.0,5,37,628,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
74419,173,2107004,SMA NEGERI 1 WERINAMA,60101668,N,34,81.82,52.18,83.68,82.72,60.12,57.82,0.0,21,7,4,2016,MALUKU,MALUKU,SERAM BAGIAN TIMUR
68873,219,1905020,SMA NEGERI 1 LIUKANG TANGAYA,40300671,N,20,81.8,75.8,66.13,47.0,60.1,59.4,0.0,19,5,20,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN PANGKAJENE KEPULAUAN
34775,2641,537614,MA MATHLA UN NAJAH,20584716.0,S,16,81.63,73.5,94.22,72.97,63.38,90.13,0.0,5,37,614,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
86229,240,3004174,MA NEGERI INSAN CENDEKIA SERPONG,20623314,N,30,81.6,73.93,91.75,88.58,74.73,88.53,0.0,30,4,174,2016,BANTEN,BANTEN,KOTA TANGERANG SELATAN
34642,2508,537042,SMA NAHDLATUL ULAMA,20564423.0,S,15,81.6,66.53,77.83,55.67,58.13,86.4,0.0,5,37,42,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
40211,364,709040,SMA SWASTA PESANTREN AL-HUSNA,10218990.0,S,10,81.6,68.6,90.0,86.25,64.0,77.2,0.0,7,9,40,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN DELISERDANG
52590,243,1106500,MAN MESUJI RAYA,10648986.0,N,16,81.38,68.75,75.31,49.84,59.38,89.63,0.0,11,6,500,2016,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR
3622,157,203001,"SMA NEGERI 1 BEKASI, KOTA BEKASI",20223020,N,31,81.35,80.9,90.08,89.35,77.48,86.19,0.0,2,3,1,2016,JAWA BARAT,JAWA BARAT,KOTA BEKASI
41761,665,715010,SMA NEGERI 3 RANTAU UTARA,10205362.0,N,58,81.17,74.52,88.79,76.59,73.17,81.59,0.0,7,15,10,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
65539,89,1705010,SMA TINARANGEN NIAMPAK,40103533,S,24,81.17,65.08,50.83,38.23,51.08,63.67,0.0,17,5,10,2016,SULAWESI UTARA,SULAWESI UTARA,KABUPATEN KEPULAUAN TALAUD
91144,93,3308004,SMA NEGERI KOKODA,69799877,N,14,81.14,60.14,79.11,36.79,53.29,67.29,0.0,33,8,4,2016,PAPUA BARAT,PAPUA BARAT,KABUPATEN SORONG SELATAN
44136,1,801001,SMA NEGERI 1 PADANG,10303461.0,N,27,81.11,69.56,76.94,76.3,71.04,83.93,0.0,8,1,1,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
76844,285,2305144,MA IBADURRAHMAN,69728204,S,9,81.11,52.44,65.83,64.17,63.33,61.78,0.0,23,5,144,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
34748,2614,537587,MA AL-MUTTAHEDAH,60728158.0,S,8,81.0,74.5,89.69,80.94,68.75,85.5,0.0,5,37,587,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34636,2502,537035,SMA NURUL JADID,20551896.0,S,28,81.0,73.86,92.5,75.71,70.29,88.64,0.0,5,37,35,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
84150,137,2708008,SMA NEGERI  1  MANGOLI  BARAT,60202239,N,16,81.0,52.88,72.81,64.06,51.13,73.75,0.0,27,8,8,2016,MALUKU UTARA,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
76861,302,2305163,MA NW ISLAHUL UMMAH BUNUT BAOK,50222487,S,6,81.0,60.0,68.75,62.08,45.0,54.33,0.0,23,5,163,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
20944,1,401001,SMA NEGERI 3 YOGYAKARTA,20403178,N,19,80.95,74.42,81.18,78.55,69.79,81.05,0.0,4,1,1,2016,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
41372,597,713019,SMA NEGERI 1 TANAH PINEM,10203552.0,N,32,80.94,57.75,74.53,75.08,69.44,72.38,0.0,7,13,19,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN DAIRI
74595,228,2108101,MA NEGERI WAIMITAL,60101579,N,32,80.94,56.63,88.05,56.64,57.5,75.69,0.0,21,8,101,2016,MALUKU,MALUKU,SERAM BAGIAN BARAT
38795,173,701216,SMA SWASTA METHODIST 3 MEDAN,10259371.0,S,91,80.88,71.85,93.54,84.97,63.36,83.67,0.0,7,1,216,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
44451,74,803004,SMA NEGERI 1 SUMATERA BARAT,10310903.0,N,12,80.83,70.83,92.71,86.25,74.83,88.5,0.0,8,3,4,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG PANJANG
22673,150,502001,SMA NEGERI 1 MALANG,20533660,N,25,80.8,73.52,74.3,77.1,70.0,81.04,0.0,5,2,1,2016,JAWA TIMUR,JAWA TIMUR,KOTA MALANG
73482,347,2017012,MA LAPOKAINSE,60728266,S,13,80.77,62.77,63.27,52.88,59.08,69.08,0.0,20,17,12,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN MUNA BARAT
42369,794,720019,SMA SWASTA UNGGUL DEL,10263538.0,S,27,80.67,68.37,81.2,81.39,70.67,79.33,0.0,7,20,19,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR
76766,207,2305056,MA NURUL YAQIN PRAYA,60729932,S,45,80.62,54.04,66.83,72.39,55.33,58.44,0.0,23,5,56,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
40998,537,711059,MA SWASTA AL-WASHLIYAH PERDAGANGAN,10263638.0,S,34,80.59,67.82,83.82,78.75,58.82,80.88,0.0,7,11,59,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
38648,26,701026,SMA SWASTA ST. THOMAS 1 MEDAN,10210923.0,S,97,80.56,72.76,90.7,84.72,63.28,85.03,0.0,7,1,26,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
34682,2548,537518,MA HIDAYATUT THALIBIN,20579591.0,S,22,80.55,64.64,82.61,89.32,66.36,90.0,0.0,5,37,518,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
76808,249,2305105,SMA NEGERI 2 PUJUT,50201366,N,66,80.48,49.88,78.75,68.11,61.18,61.21,0.0,23,5,105,2016,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH
74585,218,2108021,SMA NEGERI 2 WAESALA,60102713,N,40,80.45,62.4,70.44,47.13,64.55,70.45,0.0,21,8,21,2016,MALUKU,MALUKU,SERAM BAGIAN BARAT
34681,2547,537517,MA AN-NAJAH I,20584699.0,S,67,80.45,66.66,83.54,89.89,67.91,90.72,0.0,5,37,517,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
1014,268,103213,SMA KRISTEN IPEKA PURI INDAH,20109467,S,48,80.42,74.08,84.53,76.67,65.71,81.58,0.0,1,3,213,2016,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
6454,737,211041,SMA CAHAYA BANGSA CLASSICAL SCHOOL,20274847,S,5,80.4,78.8,81.0,75.0,67.6,68.0,0.0,2,11,41,2016,JAWA BARAT,JAWA BARAT,KABUPATEN BANDUNG BARAT
43627,1032,729014,MA SWASTA AL-MUKHTARIYAH SIBUHUAN,10263564.0,S,21,80.38,67.24,70.71,87.5,50.67,88.95,0.0,7,29,14,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN PADANGLAWAS
91078,77,3307003,SMA GUPPI RAJA AMPAT,60402057,S,22,80.36,52.0,66.93,45.45,70.0,56.36,0.0,33,7,3,2016,PAPUA BARAT,PAPUA BARAT,KABUPATEN RAJA AMPAT
91089,88,3307014,SMA PERSIAPAN WEJIM,60404143,N,12,80.33,60.83,72.08,69.58,51.67,78.67,0.0,33,7,14,2016,PAPUA BARAT,PAPUA BARAT,KABUPATEN RAJA AMPAT
2263,510,105145,SMA AL-FALAH,20107187,S,6,80.33,67.0,52.92,61.25,60.33,77.0,0.0,1,5,145,2016,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
21174,50,402002,SMA NEGERI 1 BANTUL,20400405,N,27,80.3,72.74,80.83,85.74,74.81,85.56,0.0,4,2,2,2016,DI YOGYAKARTA,DI YOGYAKARTA,KABUPATEN BANTUL
48262,389,907020,SMA SWASTA MUTIARA HARAPAN,69787182.0,S,7,80.29,69.14,67.14,68.21,62.29,75.43,0.0,9,7,20,2016,RIAU,RIAU,KABUPATEN PELALAWAN
20958,15,401015,SMA NEGERI 1 YOGYAKARTA,20403174,N,30,80.27,71.67,81.58,85.42,70.53,87.4,0.0,4,1,15,2016,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
41010,549,711076,MA SWASTA AL-HIKMAH MARIHAT BANDAR,10263636.0,S,58,80.24,67.45,84.35,79.14,57.55,80.14,0.0,7,11,76,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
17186,632,320006,SMA NEGERI 1 SUKOHARJO,20310417,N,113,80.23,65.38,86.13,86.08,71.84,85.31,0.0,3,20,6,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN SUKOHARJO
74594,227,2108034,SMA BPD HUAMUAL,69772549,S,13,80.15,70.77,66.73,72.12,58.31,69.38,0.0,21,8,34,2016,MALUKU,MALUKU,SERAM BAGIAN BARAT
