,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
16663,2194,224111,"SMK AL HASANAH, KABUPATEN SUKABUMI",20202280,S,71,88.65,80.51,87.71,78.32,"83,80",2,24,111,2017,JAWA BARAT,KABUPATEN SUKABUMI
16756,2287,224206,SMK KOMPUTER AL-BASHRY PALABUHANRATU,69726060,S,26,87.85,82.31,88.27,74.02,"83,11",2,24,206,2017,JAWA BARAT,KABUPATEN SUKABUMI
40368,128,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,4,84.5,85.0,75.0,87.43,"82,98",7,1,246,2017,SUMATERA UTARA,KOTA MEDAN
27868,117,404101,SMK NEGERI 2 DEPOK,20401315,N,461,82.62,82.97,82.37,83.71,"82,92",4,4,101,2017,DI YOGYAKARTA,KABUPATEN SLEMAN
248,55,101071,SMK F. DITKESAD,20107254,S,88,81.43,75.09,79.72,94.76,"82,75",1,1,71,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
3113,558,105256,SMK CARAKA NUSANTARA,20103769,S,73,82.05,77.97,89.55,80.92,"82,62",1,5,256,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
16765,2296,224215,SMK JAYA TAMA BANGSA,69727426,S,33,88.91,81.39,88.86,69.97,"82,28",2,24,215,2017,JAWA BARAT,KABUPATEN SUKABUMI
5468,287,204108,"SMK SMAK BOGOR, KOTA BOGOR",20238524,N,250,86.42,80.18,77.83,81.83,"81,57",2,4,108,2017,JAWA BARAT,KOTA BOGOR
19002,105,302207,SMK FARMASI NASIONAL SURAKARTA,20331830,S,114,83.93,69.16,83.18,89.39,"81,42",3,2,207,2017,JAWA TENGAH,KOTA SURAKARTA
247,54,101070,SMK ST.THERESIA,20100300,S,60,80.93,85.8,77.0,81.21,"81,24",1,1,70,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
41892,369,709238,SMK NEGERI 1 BIRU-BIRU,10264658,N,80,82.1,76.4,87.81,77.31,"80,91",7,9,238,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
3112,557,105255,SMK NEGERI 26,20103787,N,339,79.12,81.88,76.64,82.0,"79,91",1,5,255,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
41801,278,709108,SMK SWASTA KARYA SERDANG 1,10214086,S,93,77.23,81.72,86.64,73.47,"79,77",7,9,108,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
1963,269,104020,SMK NEGERI 8,20102597,N,283,82.06,70.35,80.07,86.51,"79,75",1,4,20,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
