,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
16765,2296,224215,SMK JAYA TAMA BANGSA,69727426,S,33,88.91,81.39,88.86,69.97,"82,28",2,24,215,2017,JAWA BARAT,KABUPATEN SUKABUMI
16663,2194,224111,"SMK AL HASANAH, KABUPATEN SUKABUMI",20202280,S,71,88.65,80.51,87.71,78.32,"83,80",2,24,111,2017,JAWA BARAT,KABUPATEN SUKABUMI
45125,894,733108,SMK NEGERI 1 MANDREHE UTARA,10260667,N,17,88.47,70.24,77.06,75.51,"77,82",7,33,108,2017,SUMATERA UTARA,KABUPATEN NIAS BARAT
16756,2287,224206,SMK KOMPUTER AL-BASHRY PALABUHANRATU,69726060,S,26,87.85,82.31,88.27,74.02,"83,11",2,24,206,2017,JAWA BARAT,KABUPATEN SUKABUMI
5468,287,204108,"SMK SMAK BOGOR, KOTA BOGOR",20238524,N,250,86.42,80.18,77.83,81.83,"81,57",2,4,108,2017,JAWA BARAT,KOTA BOGOR
40368,128,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,4,84.5,85.0,75.0,87.43,"82,98",7,1,246,2017,SUMATERA UTARA,KOTA MEDAN
6000,410,206108,"SMK PAKUNGWATI, KOTA CIREBON",20222177,S,1,84.0,32.0,42.5,79.5,"59,50",2,6,108,2017,JAWA BARAT,KOTA CIREBON
19002,105,302207,SMK FARMASI NASIONAL SURAKARTA,20331830,S,114,83.93,69.16,83.18,89.39,"81,42",3,2,207,2017,JAWA TENGAH,KOTA SURAKARTA
19031,134,302238,SMK IT SMART INFORMATIKA,20362528,S,54,83.89,73.93,85.0,48.43,"72,81",3,2,238,2017,JAWA TENGAH,KOTA SURAKARTA
20864,401,311002,SMK NEGERI 1 KARANGANYAR,20330331,N,423,83.38,59.97,78.75,88.03,"77,53",3,11,2,2017,JAWA TENGAH,KABUPATEN KEBUMEN
27593,82,403101,SMK NEGERI 1 PENGASIH,20402788,N,314,83.15,61.82,79.24,85.25,"77,37",4,3,101,2017,DI YOGYAKARTA,KABUPATEN KULON PROGO
3950,34,201134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,33,83.15,68.0,76.97,90.31,"79,61",2,1,134,2017,JAWA BARAT,KOTA BANDUNG
33248,843,521130,SMK  AL ISTIQOMAH,20576134,S,2,83.0,41.0,40.0,72.85,"59,21",5,21,130,2017,JAWA TIMUR,KABUPATEN PACITAN
19513,192,306002,SMK NEGERI 2 MAGELANG,20327586,N,352,82.8,62.59,70.78,69.92,"71,52",3,6,2,2017,JAWA TENGAH,KOTA MAGELANG
45308,34,801148,SMK - SMAK PADANG,10307616,N,174,82.79,64.17,70.23,84.09,"75,32",8,1,148,2017,SUMATERA BARAT,KOTA PADANG
20865,402,311003,SMK NEGERI 1 KEBUMEN,20330332,N,499,82.69,63.55,79.77,83.97,"77,50",3,11,3,2017,JAWA TENGAH,KABUPATEN KEBUMEN
27868,117,404101,SMK NEGERI 2 DEPOK,20401315,N,461,82.62,82.97,82.37,83.71,"82,92",4,4,101,2017,DI YOGYAKARTA,KABUPATEN SLEMAN
20590,371,310003,SMK NEGERI 1 PURBALINGGA,20303240,N,444,82.56,63.2,73.38,86.47,"76,40",3,10,3,2017,JAWA TENGAH,KABUPATEN PURBALINGGA
20863,400,311001,SMK NEGERI 1 GOMBONG,20330330,N,394,82.35,65.36,80.66,81.16,"77,38",3,11,1,2017,JAWA TENGAH,KABUPATEN KEBUMEN
28170,175,405101,SMK NEGERI 1 WONOSARI,20402128,N,410,82.33,61.19,73.8,86.63,"75,99",4,5,101,2017,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
