,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
51019,31,2201045,SMA BALI ISLAND SCHOOL,69930814,S,3,56.67,89.33,44.17,40.0,72.5,40.0,0.0,22,1,45,2018,BALI,KOTA DENPASAR
40747,874,213166,SMA SCHOOL OF UNIVERSE,69787173,S,3,65.33,89.33,41.67,0.0,42.5,52.5,0.0,2,13,166,2018,JAWA BARAT,KABUPATEN BOGOR
53194,490,3008210,SMA JAKARTA NANYANG SCHOOL,69900307,S,12,74.17,89.0,62.5,51.39,72.5,60.0,0.0,30,8,210,2018,BANTEN,KABUPATEN TANGERANG
39856,464,105159,SMA HIGHFIELD,69948835,S,8,80.5,88.75,73.13,94.17,86.25,73.33,0.0,1,5,159,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
39724,332,104117,SMA LENTERA INDONESIA,20177916,S,4,71.0,87.5,70.0,45.0,81.25,0.0,0.0,1,4,117,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
42913,125,501178,SMA MERLION SCHOOL,69888338,S,5,77.2,87.2,50.0,50.0,0.0,72.5,0.0,5,1,178,2018,JAWA TIMUR,KOTA SURABAYA
39638,246,103234,SMA KAIROS GRACIA,69931693,S,15,81.07,87.07,67.0,75.0,72.0,0.0,0.0,1,3,234,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
42962,174,502056,SMA WESLEY,69935475,S,2,51.0,87.0,30.0,0.0,0.0,31.25,0.0,5,2,56,2018,JAWA TIMUR,KOTA MALANG
45308,190,701266,SMA SWASTA NANYANG ZHI HUI,69867993,S,6,77.0,87.0,62.08,52.5,72.5,58.75,0.0,7,1,266,2018,SUMATERA UTARA,KOTA MEDAN
39483,91,102049,SMA SAINT NICHOLAS,20100612,S,23,76.96,86.78,73.59,60.94,0.0,66.07,0.0,1,2,49,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
