,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
44158,713,724105,SMK NEGERI 1 GOMO,10258243,N,35,64.86,77.31,97.86,70.13,"77,54",7,24,105,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
44184,739,724131,SMK NEGERI 1 HURUNA,10261294,N,52,74.69,58.12,96.68,78.54,"77,01",7,24,131,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
43227,580,715135,SMK SWASTA ALWASHLIYAH PANAI HULU,69793015,S,14,74.71,56.14,93.39,83.66,"76,98",7,15,135,2017,SUMATERA UTARA,KABUPATEN LABUHANBATU
43590,638,718117,SMK SWASTA LMC MODEL INDUSTRI,69762713,S,98,67.86,65.04,91.25,84.81,"77,24",7,18,117,2017,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN
44162,717,724109,SMK SWASTA NUSANTARA TERPADU,10258238,S,22,55.0,74.45,90.45,73.82,"73,43",7,24,109,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
67442,83,2707004,SMK TEKNOLOGI DAN PERIKANAN HALMAHERA TIMUR,60203442,S,23,60.0,55.57,90.33,78.32,"71,06",27,7,4,2017,MALUKU UTARA,KABUPATEN HALMAHERA TIMUR
3113,558,105256,SMK CARAKA NUSANTARA,20103769,S,73,82.05,77.97,89.55,80.92,"82,62",1,5,256,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
43225,578,715133,SMK SWASTA AL-AZIS,69786963,S,33,77.03,56.91,89.24,84.51,"76,92",7,15,133,2017,SUMATERA UTARA,KABUPATEN LABUHANBATU
16765,2296,224215,SMK JAYA TAMA BANGSA,69727426,S,33,88.91,81.39,88.86,69.97,"82,28",2,24,215,2017,JAWA BARAT,KABUPATEN SUKABUMI
45030,877,732110,SMK NEGERI 2 ALASA,10261849,N,78,62.31,75.51,88.49,78.38,"76,17",7,32,110,2017,SUMATERA UTARA,KABUPATEN NIAS UTARA
43201,554,715102,SMK NEGERI 2 RANTAU UTARA,10205204,N,293,81.0,64.29,88.45,83.8,"79,39",7,15,102,2017,SUMATERA UTARA,KABUPATEN LABUHANBATU
