,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
43154,1118,715120,SMK SWASTA FAJAR MANDIRI,10259162,S,35,84.93,65.14,97.21,70.41,"79,42",7,15,120,2015,SUMATERA UTARA,KABUPATEN LABUHANBATU
65308,230,2411004,SMK WIDYA BHAKTI RUTENG,50303347,S,52,85.82,67.65,97.07,80.95,"82,87",24,11,4,2015,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI
43172,1136,715130,SMK SWASTA TELADAN PEMATANG SELENG,69734382,S,5,82.78,64.26,95.0,76.43,"79,62",7,15,130,2015,SUMATERA UTARA,KABUPATEN LABUHANBATU
47785,450,912106,SMKS BINA MERANTI,69830088,S,32,75.22,91.74,94.84,77.48,"84,82",9,12,106,2015,RIAU,KABUPATEN KEPULAUAN MERANTI
43162,1126,715124,SMK SWASTA INDONESIA MEMBANGUN,10261712,S,53,85.57,64.8,94.39,79.16,"80,98",7,15,124,2015,SUMATERA UTARA,KABUPATEN LABUHANBATU
58346,136,1901186,SMK NEGERI KEHUTANAN MAKASSAR,40314239,N,61,79.08,83.84,94.26,86.98,"86,04",19,1,186,2015,SULAWESI SELATAN,KOTA MAKASSAR
38241,3020,537124,SMK AR-RAUDLAH,20572249,S,10,86.68,88.01,94.0,73.78,"85,62",5,37,124,2015,JAWA TIMUR,KABUPATEN SUMENEP
2690,1142,105256,SMK CARAKA NUSANTARA,20103769,S,58,88.79,73.21,93.75,85.79,"85,39",1,5,256,2015,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
59267,370,1908115,SMK TUT WURI HANDAYANI PGRI BONTORAMBA,69786983,S,7,85.89,91.14,92.86,79.04,"87,23",19,8,115,2015,SULAWESI SELATAN,KABUPATEN JENEPONTO
59181,324,1907102,SMK LABBIRI TAKALAR,40320560,S,12,87.73,90.83,92.71,67.71,"84,75",19,7,102,2015,SULAWESI SELATAN,KABUPATEN TAKALAR
41442,554,709117,SMK SWASTA PRIMA NUSANTARA 1,10220236,S,4,64.73,71.5,92.5,76.88,"76,40",7,9,117,2015,SUMATERA UTARA,KABUPATEN DELISERDANG
