,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
117,118,101071,SMK F. DITKESAD,20107254,S,86,84.28,92.82,89.53,95.86,"90,62",1,1,71,2015,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
58330,120,1901177,SMK NUR KARYA TIDUNG MAKASSAR,40312920,S,35,84.57,88.51,91.64,93.04,"89,44",19,1,177,2015,SULAWESI SELATAN,KOTA MAKASSAR
59185,328,1907104,SMK NEGERI 2 TAKALAR,40308585,N,263,87.33,90.22,91.56,83.3,"88,10",19,7,104,2015,SULAWESI SELATAN,KABUPATEN TAKALAR
62033,50,2201027,SMK KESEHATAN BALI MEDIKA,50103910,S,259,89.62,87.14,89.27,86.34,"88,09",22,1,27,2015,BALI,KOTA DENPASAR
61995,12,2201007,SMK FARMASI SARASWATI 3 DENPASAR,50103633,S,99,89.81,89.41,86.74,83.68,"87,41",22,1,7,2015,BALI,KOTA DENPASAR
59251,354,1908107,SMK NEGERI 6 JENEPONTO,40312509,N,24,86.3,90.25,90.31,82.46,"87,33",19,8,107,2015,SULAWESI SELATAN,KABUPATEN JENEPONTO
59267,370,1908115,SMK TUT WURI HANDAYANI PGRI BONTORAMBA,69786983,S,7,85.89,91.14,92.86,79.04,"87,23",19,8,115,2015,SULAWESI SELATAN,KABUPATEN JENEPONTO
2654,1106,105179,SMK SMAK DITKESAD,20109930,S,89,85.62,83.25,89.75,89.88,"87,13",1,5,179,2015,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
59507,422,1911103,SMK NEGERI 1 MAJAULENG,40303153,N,35,84.8,90.0,90.79,82.33,"86,98",19,11,103,2015,SULAWESI SELATAN,KABUPATEN WAJO
59257,360,1908110,SMK PRIMANEGARA JENEPONTO,40318401,S,67,83.76,89.04,91.08,83.74,"86,91",19,8,110,2015,SULAWESI SELATAN,KABUPATEN JENEPONTO
59193,336,1907108,SMK NEGERI 6 TAKALAR,40314271,N,106,84.33,89.13,90.99,82.93,"86,85",19,7,108,2015,SULAWESI SELATAN,KABUPATEN TAKALAR
58242,32,1901120,SMK MUHAMMADIYAH 4 TALLO MAKASSAR,40307389,S,74,86.09,86.38,91.66,82.26,"86,60",19,1,120,2015,SULAWESI SELATAN,KOTA MAKASSAR
60001,584,1918106,SMK HARAPAN BANGSA SIDRAP,40314674,S,50,85.86,84.8,90.05,85.43,"86,54",19,18,106,2015,SULAWESI SELATAN,KABUPATEN SIDENRENG RAPPANG
62879,320,2209022,SMK TIARA NIRWANA,69766967,S,18,83.13,89.33,84.44,89.23,"86,53",22,9,22,2015,BALI,KABUPATEN BADUNG
