,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
308,54,101070,SMK ST.THERESIA,20100300,S,74,85.46,87.05,79.32,71.79,"80,91",1,1,70,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
44240,768,724144,SMK SWASTA KRISTEN BNKP HARENORO,69815393,S,16,48.75,86.75,56.41,42.5,"58,60",7,24,144,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
40520,129,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,10,79.2,85.0,61.5,74.75,"75,11",7,1,246,2018,SUMATERA UTARA,KOTA MEDAN
44219,747,724123,SMK NEGERI 1 ARAMO,10260683,S,31,82.71,84.84,93.55,35.48,"74,15",7,24,123,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
72882,80,3204021,SMKS AWARA ARALLE,69759072,S,20,54.2,84.5,70.5,64.75,"68,49",32,4,21,2018,SULAWESI BARAT,KABUPATEN MAMASA
72167,41,3102230,SMK GLOBE NATIONAL PLUS,60728422,S,11,73.45,83.64,52.95,58.18,"67,06",31,2,230,2018,KEPULAUAN RIAU,KOTA BATAM
5659,383,204908,SMK SMAK BOGOR (4 TH KELAS 3),20238524,N,308,83.25,82.77,71.51,72.48,"77,50",2,4,908,2018,JAWA BARAT,KOTA BOGOR
67344,64,2705010,SMK PEDULI BANGSA,60205824,S,29,54.34,82.34,54.14,37.93,"57,19",27,5,10,2018,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
72181,55,3102248,SMK MAITREYAWIRA,69872145,S,104,79.35,81.96,65.75,57.26,"71,08",31,2,248,2018,KEPULAUAN RIAU,KOTA BATAM
307,53,101069,SMK ST. MARIA,20100299,S,124,78.79,81.4,70.36,46.53,"69,27",1,1,69,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
44205,733,724109,SMK SWASTA NUSANTARA TERPADU,10258238,S,55,59.31,81.2,69.86,47.68,"64,51",7,24,109,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
29175,146,502143,SMK TELKOM SANDHY PUTRA,20533803,S,389,85.67,81.17,68.08,71.16,"76,52",5,2,143,2018,JAWA TIMUR,KOTA MALANG
44220,748,724124,SMK NEGERI 1 MAZO,10260684,N,45,58.8,81.02,49.11,57.39,"61,58",7,24,124,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
47659,236,910107,SMK MUTIARA MINAS,10495189,S,6,56.33,81.0,52.5,62.5,"63,08",9,10,107,2018,RIAU,KABUPATEN S I A K
300,46,101061,SMK REX MUNDI,20108514,S,86,78.44,79.86,64.97,71.89,"73,79",1,1,61,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
266,12,101014,SMK BUNDA MULIA 1,20107252,S,180,81.03,79.39,72.47,66.9,"74,95",1,1,14,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
315,61,101079,SMKS KRISTEN KANAAN,20177909,S,48,75.29,79.08,47.55,48.28,"62,55",1,1,79,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
55752,120,1604026,SMK NEGERI 1 LOA JANAN,30405790,N,15,91.73,78.67,56.17,17.83,"61,10",16,4,26,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
44226,754,724130,SMK NEGERI 1 OOU,10261293,N,40,80.75,78.65,90.44,65.13,"78,74",7,24,130,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
65642,226,2419010,SMK NEGERI 1 KODI BALAGHAR,69881355,N,69,57.19,78.52,68.91,51.12,"63,94",24,19,10,2018,NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA
5566,290,204108,"SMK SMAK BOGOR, KOTA BOGOR",20238524,N,270,83.44,78.49,83.81,62.57,"77,08",2,4,108,2018,JAWA BARAT,KOTA BOGOR
