,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
187,56,101071,SMK F. DITKESAD,20107254,S,87,88.64,87.22,95.26,93.46,"91,15",1,1,71,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
55164,48,1601057,SMK KEHUTANAN NEGERI SAMARINDA,30407651,N,142,74.37,68.73,71.3,92.8,"76,80",16,1,57,2016,KALIMANTAN TIMUR,KOTA SAMARINDA
18560,75,301269,SMK PIKA,20341356,S,48,80.76,72.48,71.15,92.5,"79,22",3,1,269,2016,JAWA TENGAH,KOTA SEMARANG
67042,16,2702007,SMK NEGERI 6 TIDORE KEPULAUAN,69786335,N,10,59.2,66.4,41.75,92.22,"64,89",27,2,7,2016,MALUKU UTARA,KOTA TIDORE KEPULAUAN
47790,243,912105,SMK PERTANIAN TERPADU,10498725,S,10,69.0,64.4,33.75,91.72,"64,72",9,12,105,2016,RIAU,KABUPATEN KEPULAUAN MERANTI
1816,262,104007,SMK FARMASI LPK,20107350,S,39,79.85,73.79,73.78,91.09,"79,63",1,4,7,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
38809,23,603013,SMK KESEHATAN YAYASAN HARAPAN BANGSA DARUSSALAM,69822677,S,27,72.15,81.48,81.39,90.91,"81,48",6,3,13,2016,ACEH,KOTA LHOKSEUMAWE
40188,99,701206,SMK SWASTA PHARMACA MEDAN,10259229,S,101,80.12,75.56,77.45,90.47,"80,90",7,1,206,2016,SUMATERA UTARA,KOTA MEDAN
2933,585,105516,SMK MANDALA TIARA BANGSA,20177895,S,16,76.13,56.88,46.25,89.75,"67,25",1,5,516,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
1943,389,104162,SMK PGRI 15,20101511,S,50,66.84,67.04,57.45,89.71,"70,26",1,4,162,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
2914,566,105256,SMK CARAKA NUSANTARA,20103769,S,63,86.6,69.87,84.96,89.38,"82,70",1,5,256,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
191,60,101076,SMK F PENABUR,20109314,S,26,83.92,67.46,72.69,89.36,"78,36",1,1,76,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
2937,589,105520,SMK SWADAYA GLOBAL SCHOOL,69854751,S,40,75.15,57.8,54.88,88.98,"69,20",1,5,520,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
55656,98,1604005,SMK YPK TENGGARONG,30400213,S,315,72.34,78.79,65.1,88.92,"76,29",16,4,5,2016,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
2896,548,105178,SMK IKIFA,20109934,S,223,78.11,60.72,56.3,88.82,"70,99",1,5,178,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
40221,132,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,12,83.5,90.0,85.83,88.81,"87,04",7,1,246,2016,SUMATERA UTARA,KOTA MEDAN
1883,329,104082,SMK FARMASI BHUMI HUSADA,20109547,S,32,77.06,75.88,61.88,88.78,"75,90",1,4,82,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
1936,382,104154,SMK TRIKARYA,20109541,S,84,69.1,65.64,51.61,88.63,"68,75",1,4,154,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
31592,559,514139,SMK SENTOSA DHARMA BOJONEGORO,20547828,S,87,78.74,71.59,55.52,88.59,"73,61",5,14,139,2016,JAWA TIMUR,KABUPATEN BOJONEGORO
2928,580,105270,SMK AR-RAISIYAH HUSADA,69762614,S,41,77.76,63.95,48.35,88.54,"69,65",1,5,270,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
70778,424,3007013,SMK HARAPAN JAYA CILELES,20613536,S,52,58.92,46.04,22.6,88.34,"53,98",30,7,13,2016,BANTEN,KABUPATEN LEBAK
29311,166,503110,SMK BINA FARMA MADIUN,20539405,S,172,81.92,68.17,61.16,88.34,"74,90",5,3,110,2016,JAWA TIMUR,KOTA MADIUN
66988,3,2701003,SMK NEGERI 3 KOTA TERNATE,60200778,N,42,55.81,56.9,52.86,88.34,"63,48",27,1,3,2016,MALUKU UTARA,KOTA TERNATE
12580,1449,216122,SMK FARMASI MUHAMMADIYAH CIREBON,20244686,S,118,78.88,64.95,76.12,88.31,"77,07",2,16,122,2016,JAWA BARAT,KABUPATEN CIREBON
62053,6,2201007,SMK FARMASI SARASWATI 3 DENPASAR,50103633,S,125,79.01,76.38,57.26,88.24,"75,22",22,1,7,2016,BALI,KOTA DENPASAR
40185,96,701203,SMK SWASTA YPF SUMATERA UTARA MEDAN,10259241,S,119,82.12,79.03,80.19,88.2,"82,39",7,1,203,2016,SUMATERA UTARA,KOTA MEDAN
1164,230,103112,SMK CANDRA NAYA,20104453,S,69,75.33,64.32,63.26,88.18,"72,77",1,3,112,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
1095,161,103026,SMK AL HUDA,20101592,S,114,70.07,48.61,35.53,88.18,"60,60",1,3,26,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
27103,26,401132,SMK INDONESIA YOGYAKARTA,20407373,S,145,81.08,75.68,71.47,88.15,"79,10",4,1,132,2016,DI YOGYAKARTA,KOTA YOGYAKARTA
18492,7,301007,SMK NEGERI  7 SEMARANG,20337604,N,591,85.84,74.27,84.57,88.04,"83,18",3,1,7,2016,JAWA TENGAH,KOTA SEMARANG
188,57,101072,SMK F. TUNAS BANGSA,20107255,S,48,80.33,65.67,64.64,88.03,"74,67",1,1,72,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
41681,273,709107,SMK SWASTA ROKITA SARI 2,69816997,S,14,77.14,69.71,79.46,88.02,"78,58",7,9,107,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
2818,470,105089,SMK BUDI MURNI 3,20103684,S,59,63.83,52.31,35.64,88.02,"59,95",1,5,89,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
565,98,102039,SMK FAJAR INDAH JAKARTA,20107417,S,27,73.26,65.93,54.91,87.98,"70,52",1,2,39,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
18953,105,302207,SMK FARMASI NASIONAL SURAKARTA,20331830,S,160,81.44,73.73,76.09,87.96,"79,81",3,2,207,2016,JAWA TENGAH,KOTA SURAKARTA
2841,493,105114,SMK KARYA DHARMA II,20109490,S,34,64.41,44.53,33.16,87.93,"57,51",1,5,114,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
