No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,18010101,SMK NEGERI 3 PALU,40203629,N,512,61.73,40.32,30.04,39.71,"42,95",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
2,18010102,SMK NEGERI 7 PALU,40203626,N,105,56.97,34.02,29.36,40.64,"40,25",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
3,18010103,SMK BINA POTENSI,40203613,S,64,56.13,35.97,31.21,35.51,"39,71",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
4,18010104,SMK KRISTEN BALA KESELAMATAN PALU,40203615,S,225,58.09,36.44,29.92,36.26,"40,18",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
5,18010105,SMK MUHAMMADIYAH 1 PALU,40203630,S,178,60.62,37.82,31.8,40.49,"42,68",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
6,18010106,SMK SWADAYA 2 PALU,40203627,S,12,62.0,37.83,28.75,37.71,"41,57",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
7,18010107,SMK NEGERI 1 PALU,40203599,N,356,64.33,41.15,31.5,47.84,"46,21",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
8,18010108,SMK PONPES ALKHAIRAAT PALU,40203617,S,9,58.67,32.89,34.44,44.17,"42,54",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
9,18010109,SMK PONPES AMALIA PALU,40203601,S,16,49.75,31.5,25.78,35.47,"35,63",18,1,10,2019,SULAWESI TENGAH,KOTA PALU
10,18010110,SMK MANDALASILA,40203622,S,54,64.3,39.56,31.3,40.56,"43,93",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
11,18010111,SMK NEGERI 2 PALU,40203606,N,635,61.41,40.63,30.88,41.97,"43,72",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
12,18010112,SMK PGRI PALU,40203603,S,60,55.33,37.13,26.58,37.21,"39,06",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
13,18010113,SMK PANCASILA PALU,40203604,S,42,58.95,34.33,28.63,35.77,"39,42",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
14,18010114,SMK NURUL ISLAM TAWAELI PALU,40203605,S,27,54.59,31.7,27.96,34.54,"37,20",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
15,18010115,SMK ALKHAIRAAT PALU,40203625,S,76,59.11,35.95,27.43,38.22,"40,18",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
16,18010116,SMK SWADAYA 1 PALU,40203602,S,10,60.0,38.0,31.75,38.5,"42,06",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
17,18010117,SMK NEGERI 4 PALU,40203623,N,110,54.49,33.42,28.91,38.2,"38,76",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
18,18010119,SMK NEGERI 5 PALU,40203621,N,49,59.88,38.86,30.05,47.6,"44,10",18,1,11,2019,SULAWESI TENGAH,KOTA PALU
19,18010120,SMK NEGERI 6 PALU,40203620,N,292,55.41,35.03,28.17,37.25,"38,97",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
20,18010121,SMK NUSANTARA PALU,40203624,S,144,66.31,43.35,37.03,48.65,"48,84",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
21,18010122,SMK PELAYARAN TRI DHARMA PALU,40203628,S,17,52.35,33.06,27.06,37.35,"37,46",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
22,18010123,SMK NEGERI 8 PALU,40206709,N,51,60.12,37.18,29.85,46.27,"43,36",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
23,18010124,SMK ISLAMIC CENTER,40206565,S,21,50.48,33.05,25.95,29.64,"34,78",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
24,18010125,SMK JUSTITIA,40210102,S,7,65.71,35.43,30.71,43.57,"43,86",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
25,18010126,SMK TOVEAKU,69895443,S,49,45.84,31.96,29.08,30.51,"34,35",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
26,18010127,SMK BINA BAKAT KARTIKA ANDI MASSE PALU,69949246,S,5,50.8,35.6,28.5,26.5,"35,35",18,1,12,2019,SULAWESI TENGAH,KOTA PALU
27,18020001,SMK NEGERI 1 BANAWA,40200731,N,201,54.11,33.78,29.44,36.88,"38,55",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
28,18020002,SMK NEGERI 2 BANAWA,40200717,N,57,57.16,40.0,27.98,42.81,"41,99",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
29,18020003,SMK NEGERI 1 LABUAN,40200732,N,153,54.03,35.12,29.02,34.23,"38,10",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
30,18020004,SMK NEGERI 1 BALAESANG,40204418,N,49,53.8,32.08,26.48,42.24,"38,65",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
31,18020005,SMK AL-AMIIN WANI,40200733,S,52,56.92,34.92,28.65,53.27,"43,44",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
32,18020006,SMK NEGERI 1 BANAWA SELATAN,40204585,N,58,56.59,34.76,28.36,33.53,"38,31",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
33,18020007,SMKN 1 SINDUE TOBATA,40206617,N,70,45.0,31.63,27.14,30.79,"33,64",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
34,18020008,SMKN 1 SOJOL UTARA,40206619,N,60,53.23,33.5,31.08,35.75,"38,39",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
35,18020009,SMK NEGERI 1 TERPADU SINDUE,69758313,N,80,44.15,30.63,27.09,33.38,"33,81",18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
36,18020011,SMK NEGERI 1 SOJOL,69758311,N,75,61.17,45.33,34.0,46.93,"46,86",18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
37,18020012,SMK NEGERI 1 PINEMBANI,69762608,N,26,37.92,30.54,27.12,27.4,"30,75",18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
38,18020013,SMK MANBAUL HIKMAH,69764528,S,22,62.27,35.09,34.09,35.45,"41,73",18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
39,18020014,SMK NEGERI 1 RIO PAKAVA,69758987,N,30,55.73,34.27,29.33,41.42,"40,19",18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
40,18030001,SMK NEGERI 1 POSO,40201354,N,166,62.71,35.63,29.74,39.74,"41,96",18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
41,18030002,SMK NEGERI 2 POSO,40201353,N,83,62.96,37.69,30.78,45.84,"44,32",18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
